Band - Title,Label,Price
A,,
Avulsed - Gorespattered Suicide,0,0
Animals Killing People - Human Hunting Season,1,0
Artery Eruption - Gouging Out Eyes Of Mutilation Infants,1,0
"Artery Eruption - Limbless, Splitting, Spewage",0,0
Artery Eruption - Driving My Fist Through Her Chest,0,0
Amputated - Gargling With Infected Semen (reissue),0,0
Aposepsy - S/T,2,0
All Shall Perish - Hate. Malice. Revenge.,2,0
Aborted Fetus - Goresoaked Clinical Accident,3,0
Aborted Fetus - Fatal Dogmatic Damage,4,0
Awaiting The Autopsy - Couldn't Tell The Bodies Apart,2,0
Apostles Of Perversion - Meeting Of Atrocities ,5,0
Antropofagus / Putridity / Prion / Infected Flesh / Mass Infection,4,0
Atrocious Abnormality - Echoes Of The Rotting,4,0
Abuse - Like A Virgin,4,0
Antropofagus - Architecture Of Lust,4,0
Antropofagus - No Waste Of Flesh,4,0
Aversion To Life - Ritualized Murder,4,0
Abnormality - Contaminating The Hive Mind,0,0
"Analdicktion - Sluts
",0,0
Animals Killing People / Andromorphus Rexalia - Phylum Morph-Apokalupsis,0,0
Agathocles -  Humarrogance,Morbid Records,$30
Abacinate - Ruination,Epitomite Productions ,0
Arsis - As Regret Becomes Guilt,Negative Existence Records,1
B,,
Braced For Nails - Icons Above All Others,6,0
Bound And Gagged - Fornicate The Gutted,6,0
Biosick - Clean The Ulcer,Farewell Music,0
Blaze Inside - Pure Potenciality,7,0
Back Door To Asylum - Akathisia,2,0
Beheading Machine - Stillbirth Civilisation,8,0
Blasphemer - Devouring Deception,4,0
Birth Asphyxia - Human Obelisk,Bloodcurdling Enterprise Records,0
Brodequin - Festival Of Death,9,2
Brodequin - Methods Of Execution,9,2
Bloodchurn - Ravenous Consumption,9,2
Blood Red Throne - Brutalitarian Regime,0,0
C,,
Carnifex - Hell Chose Me,10,3
Cliteater - Clit 'Em All,0,0
Carnal Decay - On Top Of The Food Chain,0,0
Cenotaph - Re-Puked Purulency ,0,0
Cenotaph - Complete Demo & Rehearsals 1994-1996,0,0
Carpathian Funeral  - The End Of God,Butchered Records,1
Coprophiliac - Whining Bitch Treatment,0,0
Cerebral Effusion - Impulsive Psychopathic Acts,4,0
Cumbeast - Recycled Nastiness,5,0
Cumbeast / Defleshuary / Down From The Wound / Heinous Killings Fermenting In Five-Way Filth,5,0
Cephalotripsy - Uterovaginal Insertion Of Extirpated Anomalies,2,0
Coprobaptized Cunthunter - Failure Prosthesis,3,0
Cenotaph - Putrescent Infectious Rabidity,3,1
Cenotaph - Reincarnation In Gorextasy,3,1
Cease Of Breeding - Sounds Of Disembowelment,2,0
Composted - Sexual Transmission: Simplex Slam,11,0
Calvarium - The Skull Of Golgotha,Dynamic Arts Records,0
Chordotomy - The Precious Ideal,12,0
Cemetery Rapist - The Smut Circus,12,0
Cutterred Flesh - Cause The Apocalypse,Nice To Eat You Records,0
Corpsefucking Art - War Of The Toilet Gear,1,0
Criminal Element - Crime And Punishment,0,0
Cranial Osteotomy - Victim Of Wicked Sickness,3,0
D,,
Devour The Unborn - Consuming The Morgue Remains,6,0
Decaying Form Chronicles Of Decimation,7,0
Diamanthian - Arcana Doctrina,6,0
Dead For Days - Creating Murderous Domain,6,0
Depth Of Depravity - Inspirritation,Terranis Productions,0
Death Artery - Chapter Of Human End,13,4
Diminished Origin Of Apocalypse,0,0
Diminished - Rectal Torment,0,0
Drowning In Phemaldehyde - Blistering Corpse Abortion,7,0
Drift Of Genes - Excruciating Severe Laceration,8,0
"Deranged - Carve, Rip, Serve",0,0
Decaying Purity - The Existence Of Infinite Agony,0,0
Discreate - Contingent Development Of Inanimate Modifications,14,4
Dead Remains - Conscious Cremation,15,0
Dysentery - Internal Devastation,4,0
Ditchcreeper - Rotting Repugnancy ,5,0
Disfigurement Of Flesh - Psychotonic Abnormal Dismemberment,16,0
Decomposition Of Humanity - Sadistic Fetal Extraction,16,0
Diftery - Trepa Nation,2,0
Defloration - Abused With Gods Blessing,War Anthem Records,0
Disarticulating Extinguishment - Psalms Of Wrath,17,0
Disentomb - Sunken Chambers Of Nephilim,2,0
Dysentery - From Past Suffering Comes New Flesh,2,0
E,,
Enthrallment - People From The Lands Of Vit,18,0
Enthrallment - Immerse Into Bloody Bliss,19,0
Endless Distrust - Collateral Damage,15,0
Engorgement - Excruciating Intestinal Lacerations,4,0
Envenomation - Pyogenic Harvest ,5,0
Extirpated - Decomposition And Decay,5,0
Eternal Ruin / Leukorrhea - Denied Existence,2,0
Epicedium - Anthropogenic,20,0
Ease Of Disgust - The Shell,Gigawatt Music,0
Exulcerate - Remnants Of A Cannibalistic Debauchery,4,0
Extermination Dismemberment - Butcher Basement,17,0
"Extirpating The Infected - Beheading The Dead
",0,0
F,,
Fecalizer / Paracoccidioidomicosisproctitissarcomucosis (Split),18,0
Fleshless - Hate Is Born,19,0
Face Of Oblivion - The Embers Of Man,4,0
G,,
Goratory - Rice On Suede,2,0
Goratory - Orgasm Induced Diarrhea,2,0
Gastrorrexis - Grotesque Human Disfigurement,0,0
Gorevent / Embryonic Depravity - Malignant Opus Of Inherited,0,0
Gorevent - Worship Paganism,Macabre Mementos Records,0
Gortuary - Awakening Pestilent Beings,0,0
Grotesque Formation - Basement Decomposition,0,0
Gut / Satan's Revenge On Mankind - The Green Slime Are Coming!,12,0
Gurglectomy / Desvirginizagore / Inhumation - Grinding Your Brain,Venal Productions,0
Gutfed - The Reign Of Pure Madness And Contagious Perversion,14,0
Grace Disgraced - Enthrallment Traced,More Hate Productions ,0
H,,
Horror God - Planet Of Ruins,8,0
Hideous Rebirth - Partially Devoured,21,0
Hedonistic Exility - Deevolutional Stasis,8,0
Horde Casket - Landscape Of Cadavers,5,0
Horde Casket - Slab Of Infinite Butchery,0,0
Haemophagia - From Sickness To Cult,5,0
Hate Division - Strategy Of Obsolescence ,5,0
Hellskuad - Knife Of Perfect Mutilation,3,0
Human Mastication - Persecute To Bloodbath,0,0
I,,
Ingurgitate - Bleeding His Sacred Kingship,6,0
Ingurgitate - Blackest Origins...,4,0
Infernal Revulsion - Dead But Breathing ,Revenge Productions,1
Infernal Revulsion - An Epic Conviction,0,0
Inferia - No Sperm Shall Be Spared,Sevared Redords,0
Inopexia - Myocardical Biopsy Had A Lethal Outcome,3,0
Intracranial Butchery - Keepin' It Grind,3,0
