Subtitle,Band - Title,Label,Price
A,Avulsed - Gorespattered Suicide,0,0
A,Animals Killing People - Human Hunting Season,1,0
A,Artery Eruption - Gouging Out Eyes Of Mutilation Infants,1,0
A,"Artery Eruption - Limbless, Splitting, Spewage",0,0
A,Artery Eruption - Driving My Fist Through Her Chest,0,0
A,Amputated - Gargling With Infected Semen (reissue),0,0
A,Aposepsy - S/T,2,0
A,All Shall Perish - Hate. Malice. Revenge.,2,0
A,Aborted Fetus - Goresoaked Clinical Accident,3,0
A,Aborted Fetus - Fatal Dogmatic Damage,4,0
A,Awaiting The Autopsy - Couldn't Tell The Bodies Apart,2,0
A,Apostles Of Perversion - Meeting Of Atrocities ,5,0
A,Antropofagus / Putridity / Prion / Infected Flesh / Mass Infection,4,0
A,Atrocious Abnormality - Echoes Of The Rotting,4,0
A,Abuse - Like A Virgin,4,0
A,Antropofagus - Architecture Of Lust,4,0
A,Antropofagus - No Waste Of Flesh,4,0
A,Aversion To Life - Ritualized Murder,4,0
A,Abnormality - Contaminating The Hive Mind,0,0
A,"Analdicktion - Sluts
",0,0
A,Animals Killing People / Andromorphus Rexalia - Phylum Morph-Apokalupsis,0,0
A,Agathocles -  Humarrogance,Morbid Records,$30
A,Abacinate - Ruination,Epitomite Productions ,0
A,Arsis - As Regret Becomes Guilt,Negative Existence Records,1
B,Braced For Nails - Icons Above All Others,6,0
B,Bound And Gagged - Fornicate The Gutted,6,0
B,Biosick - Clean The Ulcer,Farewell Music,0
B,Blaze Inside - Pure Potenciality,7,0
B,Back Door To Asylum - Akathisia,2,0
B,Beheading Machine - Stillbirth Civilisation,8,0
B,Blasphemer - Devouring Deception,4,0
B,Birth Asphyxia - Human Obelisk,Bloodcurdling Enterprise Records,0
B,Brodequin - Festival Of Death,9,2
B,Brodequin - Methods Of Execution,9,2
B,Bloodchurn - Ravenous Consumption,9,2
B,Blood Red Throne - Brutalitarian Regime,0,0
C,Carnifex - Hell Chose Me,10,3
C,Cliteater - Clit 'Em All,0,0
C,Carnal Decay - On Top Of The Food Chain,0,0
C,Cenotaph - Re-Puked Purulency ,0,0
C,Cenotaph - Complete Demo & Rehearsals 1994-1996,0,0
C,Carpathian Funeral  - The End Of God,Butchered Records,1
C,Coprophiliac - Whining Bitch Treatment,0,0
C,Cerebral Effusion - Impulsive Psychopathic Acts,4,0
C,Cumbeast - Recycled Nastiness,5,0
C,Cumbeast / Defleshuary / Down From The Wound / Heinous Killings Fermenting In Five-Way Filth,5,0
C,Cephalotripsy - Uterovaginal Insertion Of Extirpated Anomalies,2,0
C,Coprobaptized Cunthunter - Failure Prosthesis,3,0
C,Cenotaph - Putrescent Infectious Rabidity,3,1
C,Cenotaph - Reincarnation In Gorextasy,3,1
C,Cease Of Breeding - Sounds Of Disembowelment,2,0
C,Composted - Sexual Transmission: Simplex Slam,11,0
C,Calvarium - The Skull Of Golgotha,Dynamic Arts Records,0
C,Chordotomy - The Precious Ideal,12,0
C,Cemetery Rapist - The Smut Circus,12,0
C,Cutterred Flesh - Cause The Apocalypse,Nice To Eat You Records,0
C,Corpsefucking Art - War Of The Toilet Gear,1,0
C,Criminal Element - Crime And Punishment,0,0
C,Cranial Osteotomy - Victim Of Wicked Sickness,3,0
D,Devour The Unborn - Consuming The Morgue Remains,6,0
D,Decaying Form Chronicles Of Decimation,7,0
D,Diamanthian - Arcana Doctrina,6,0
D,Dead For Days - Creating Murderous Domain,6,0
D,Depth Of Depravity - Inspirritation,Terranis Productions,0
D,Death Artery - Chapter Of Human End,13,4
D,Diminished Origin Of Apocalypse,0,0
D,Diminished - Rectal Torment,0,0
D,Drowning In Phemaldehyde - Blistering Corpse Abortion,7,0
D,Drift Of Genes - Excruciating Severe Laceration,8,0
D,"Deranged - Carve, Rip, Serve",0,0
D,Decaying Purity - The Existence Of Infinite Agony,0,0
D,Discreate - Contingent Development Of Inanimate Modifications,14,4
D,Dead Remains - Conscious Cremation,15,0
D,Dysentery - Internal Devastation,4,0
D,Ditchcreeper - Rotting Repugnancy ,5,0
D,Disfigurement Of Flesh - Psychotonic Abnormal Dismemberment,16,0
D,Decomposition Of Humanity - Sadistic Fetal Extraction,16,0
D,Diftery - Trepa Nation,2,0
