Hotel Name,Address,Web Site,Rating, Approx Price ,Details
City Centre,,,,,
Sails Resort,20 Park Street,http://www.sailsresort.com.au/,4 Star, See Pricelist ,15 - 20 minute walk to City Centre & 30 minute walk to Town Beach.
Rydges Port Macquarie,1 Hay Street Street,www.rydges.com/hotel/0/RNPMAC/Rydges-Port-Macquarie.htm,4 Star,$390.00 ,City Centre right near Town Green area & overlooking Hastings River. 10 minute walk to Town Beach. Some Ocean views
Mecure Centro Hotel,103 William Street,http://www.centrohotel.com.au/,4 Star,$250.00 ,City Centre & 10 minute walk to Town Beach.
Macquarie Waters Hotel & Apartments,11 Clarence Street,http://www.mwaters.com.au/,4 Star,$220.00 ,City Centre but close to river & 10 minute walk to Town Beach. Adjacent to River
Port Pacific Resort,6--14 Clarence Street,http://www.portpacific.com.au/,4 Star,$187.00 ,City Centre & 5-10minute walk to Town Beach. Some Beach and Harbour Views from rooftop.
Mantra Quayside,136 William Street,http://www.quaysideapartments.com.au/,4 Star,$180.00 ,City Centre & 15 minute walk to Town Beach. Adjacent to River.
El Paso Motor Inn,29 Clarence Street,http://www.port-macquarie.net/elpaso/index.html,3.5 Star,$160.00 ,2 min walk to City Centre & 10 minute walk to Town Beach. Opposite the River.
Best Western Palm Cove,138 William Street,http://www.palmcourt.bestwestern.com.au/,3 Star,$130.00 ,2 min walk to City Centre & 10-15 minute walk to Town Beach.
Mid Pacific Hotel,Cnr Short Street & Clarence Street,http://www.motelmidpacific.com.au/,3 Star,$120.00 ,2 min walk to City Centre & 10 minute walk to Town Beach.
Lageorge Motel,4 hollingworth Street,http://www.legeorge.com.au/,No Rating,$110.00 ,5 min walk to City Centre & 10 minute walk to Town Beach.
Port Aloha Motel,3 School Street,http://www.portaloha.com.au/,3.5 Star,$135.00 ,2 min walk to City Centre & 10 minute walk to Town Beach.
Excelsior Motor Inn,92 William Street,http://www.excelsiormotorinn.com.au/,3.5 Star,$150.00 ,5 min walk to City Centre & 10 minute walk to Town Beach.
The Macquarie Hotel - Above the pub,4 Horton Street,http://www.macquariehotel.com.au/,No Rating,$80.00 ,City Centre & 10 minute walk to Town Beach.
Close to Beach,,,,,
Sandcastle Apartments,12--24 William Street,http://www.sandcastleportmacquarie.com.au/,No Rating,$440.00 ,"Opposite Town Beach (180 Degree Views), 10-15 minute walk to City Centre"
The Observatory,40 William Street,http://www.observatory.net.au/,4 Star,$360.00 ,"Opposite Town Beach (180 Degree Views), 10-15 minute walk to City Centre"
Beach Blue Resort,68 Pacific Drive,www.beachblueresort.com.au,4 Star,$345.00 ,5 min walk to Flynns beach & 10 min taxi to city centre
Sundowner Breakwall Tourist Park- Cottages (Sleeps 4) etc,1 Munster Street,http://www.sundownerholidays.com/,3 Star,$282.00 ,2 min walk to Town Beach & 5min walk to city centre.
All Seasons Ki-ea Apartments,67 William Street,http://www.ki-ea.com.au/,4 Star,$260.00 ,10 min walk to Town beach & 10-15 min walk to city centre. Some Views
Beachside Holiday Apartments,48 Pacific Drive,http://www.bookportmacquarie.com.au/,4 Star,$245.00 ,Opposite Flynns Beach & 10 min taxi to city centre.
Sandcastle Terraces,24 William Street,http://www.thesandcastle.com.au/,4 Star,$220.00 ,"Opposite Town Beach, 10-15 minute walk to City Centre"
Beaches Holiday Resort,55 Pacific Drive,http://www.beachesholidayresort.com.au/,4 Star,$220.00 ,Opposite Flynns Beach & 10 min taxi to city centre.
Country Comfort Port Macquarie,(Cnr Buller and Hollingworth Streets),http://www.countrycomforthotels.com/countrycomfort/hotels?cid=143&pid=1325,3.5 Star,$215.00 ,10-15 min walk to Town Beach & 4 min walk to city centre. Opposite the River.
Beachcomber Resort,54 William Street,http://www.beachcomberresort.com.au/,4.5 Star,$200.00 ,"Diagionally opposite Town Beach, 10-15 Minute walk to City Centre"
Quality Inn HW Boutique,1 Stewart Street,http://www.choicehotels.com.au/hotels/hotel?hotel=AU734&cid=gglocal,4 Star,$200.00 ,Opposite Town Beach & 10-15 min walk to city centre.
Beach House Holiday Apartments,7 Lord Street,http://www.beachhouseholidayapartments.com/,3.5 Star,$135.00 ,2 min walk to Town Beach & 10min walk to city centre.
Ocean Breeze Motel,24 Burrawan Street,http://www.obmotel.com.au/,3 Star,$100.00 ,5 min walk to Oxley Beach 10 min walk to town beach & 15-20 min walk to city centre. 
Oxley Cove Apartments,29 Owen Street,http://www.oxleycoveapartments.com.au/,3 Star,$90.00 ,5 min walk to Oxley Beach 10 min walk to town beach & 15-20 min walk to city centre. 
Sundowner Breakwall Tourist Park - Caravan/Camping,1 Munster Street,http://www.sundownerholidays.com/,,,2 min walk to Town Beach & 5min walk to city centre.
Town Beach Moter Inn,12 Gordon Street,http://www.townbeachmotorinn.com.au/,3 Star,$90.00 ,10-15 min walk to town beach & 15-20 min walk to city centre. 
Crusoes Holiday Apartments,1 Grant Street,http://www.crusoes.com.au/,No Rating,,2 min walk to Town Beach & 5min walk to city centre.
Beachpark Motel,44 William Street,http://beachparkmotel.street-directory.com.au/,3 Star,$80.00 ,2 min walk to Town Beach & 5min walk to city centre.
Flynns Beach Resort,Cnr Pacific Drive & Ocean,http://www.flynnsbeachresort.com.au/,4 Star,$285.00 ,5 min walk to Flynns beach & 10 min taxi to city centre
