Product,Subline,Part Number,Description
ACD Product,,,
,AC,15-30008,FITTING W/
,AC,15-30513,EVAP HOSE
,AC,15-50574,VALVE H
,FIL,GF578,1728 PER PALLET 24 PER CASE
,FIL,GF652,1728 PER PALLET 24 PER CASE
,FIL,PF1127,MADE IN USA 1680 PER PALLET
,FIL,PF1218,MADE IN USA 840 PER PALLET
,FIL,PF13,MADE IN USA 1200 PER PALLET
,FIL,PF2,AC DELCO OIL FILTER
,FIL,PF2129,MADE IN USA 2400 PER PALLET
,FIL,PF454,MADE IN USA 1200 PER PALLET
,FIL,PF457G,PF457GF
,FIL,PF46,GM # 19210283 PF46E
,FIL,PF47,25010792
,FIL,PF47E,19210284 1848 PER PALLET
,FIL,PF52,MADE IN USA 1344 PER PALLET
,FIL,PF53,MADE IN USA 1080 PER PALLET
,FIL,PF61E,19210285
,MEX,MCR43TS,89063290 120 PER CASE
,MEX,PF2-M,AC DELCO MADE IN MEXICO
,MEX,PF454-M,AC DELCO MADE IN MEXICO
,MEX,PF53-M,MADE IN MEXICO OIL FILTER
,MEX,PF59-M,AC DELCO MADE IN MEXICO
,MEX,PFL400A-M,AC DELCO MADE IN MEXICO
,OLD,R43T USA,5613354
,PLG,32G,GLOW PLUG
,PLG,41-100,SPARK PLUG
,PLG,41-101,12568387
,PLG,41-103,12598004 / 12625058 REP 41-965
,PLG,41-105,12607280
,PLG,41-107,AC DELCO SPARK PLUGS
,PLG,41-110,12621258
,PLG,41-627,25177454
,PLG,41-629,88901233 MADE IN USA
,PLG,41-630,88901234 ORIGINAL USA PLUGS
,PLG,41-800,SPARK PLUG
,PLG,41-801,19238466
,PLG,41-802,88901008 ORIGINAL USA PLUGS
,PLG,41-803,AC DELCO SPARK PLUGS
,PLG,41-805,19250977
,PLG,41-807,SPARK PLUG
,PLG,41-808,AC DELCO SPARK PLUGS
,PLG,41-821,SPARK PLUG
,PLG,41-831,SPARK PLUG
,PLG,41-902,19158029 / 19207828
,PLG,41-905,SPARK PLUG
,PLG,41-906,19158032
,PLG,41-908,19158034
,PLG,41-913,5614355
,PLG,41-919,25161442 CHANGE TO 41-975
,PLG,41-928,19179571 USA PLUGS
,PLG,41-933,19208533
,PLG,41-936,SPARK PLUG
,PLG,41-940,19208529
,PLG,41-942,19208527
