MONTH,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP
MEMBERSHIP FEES,9654,7521,8541,8541,8541,8541,8541,8541,7521
CLUB SHOP,0,310,657,594,750,466,395,586,447
LOCKER RENTALS,196.5,220,205.75,205.75,315.25,205.75,205.75,205.75,205.75
RENT,450,450,450,450,450,450,450,450,450
SALARIES,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3,3540.3
EQUIPMENT RENTAL,750,750,750,750,750,750,750,750,750
INSURANCE,125,125,125,125,125,125,125,125,125
CLUB SHOP SUPPLIES,0,1015,210,195,374.99,348.92,831.83,450,613.98
HEAT-GAS,549.53,654.28,458.61,458.61,404.2,612.26,635.09,547.9,616.85
ELECTRICITY,258.36,314.9,244.77,305.61,366.07,283.21,279.64,301.9,311.99
TELEPHONE,65.23,58.94,55.82,55.82,71.43,60.48,59.72,69.23,56.84
SNOW REMOVAL,55,45,35,35,15,16,34,26,22
