CONCEPTO,Habitación Sencilla ,Impuestos sobre hospedaje,I.V.A. ,Dirección,Teléfono,Página web,Estrellas
HOTEL MISION JURIQUILLA ,1030,2.5000000000000001E-2,0.16,"Blvd. Villas del Mesón No. 56, Juriquilla Querétaro. C.P. 76230",(442) 234-0000 Ext. 547,http://www.hotelesmision.com.mx/queretaro_juriquilla.php,*****
RAMADA ENCORE HOTEL QRO.,920,3.5000000000000003E-2,0.16,"Paseo de la República 11515, Juriquilla, Qro. C.P. 76230",(442) 690-9400,www.hotelesencore.com,****
FOUR POINTS BY SHERATON,1150,3.5000000000000003E-2,0.16,"Carretera a San Luis Potosí No. 13001, Col. Jurica, C.P. 76127",(4429 103-3030,http://www.starwoodhotels.com/fourpoints/index.html,*****
FOUR POINTS BY SHERATON (WISE),1050,3.5000000000000003E-2,0.16,"Carretera a San Luis Potosí No. 13001, Col. Jurica, C.P. 76127",(4429 103-3030,http://www.starwoodhotels.com/fourpoints/index.html,*****
PLAZA CAMELINAS HOTEL,789,2.5000000000000001E-2,0.16,"Av. 5 de Febrero 28, La Capilla, 76170 Santiago de Querétaro, Qro.",(442) 192-3900,www.plazacamelinas.com.mx,*****
HOTEL MIRABEL ,774,2.5000000000000001E-2,0.16,"Constituyentes 2 Ote. Centro, cp. 76000 Querétaro, Qro. ",(442) 214-3535 y 214-3099,www.hotelmirabel.com.mx,****
HOTEL QUINTA SANTIAGO,990,2.5000000000000001E-2,0.16,"Andrés Balvanera no. 4, Centro Histórico, Querétaro, Qro. ","(442) 251-9800, 224-1985 y 224-1986.",http://www.hotelquintasantiago.mx/,****
HOTEL REAL ALAMEDA,995,2.5000000000000001E-2,0.16,"Corregidora Sur no. 184-D, Col. Centro, Querétaro, Qro. ",(442) 251 8900,http://www.hotelrealalameda.com/,****
HOME 2 BY HILTON,1150,3.5000000000000003E-2,0.16,"Carret. Querétaro -San Luis Potosí 631-C, Jurica, 76100 Santiago de Querétaro, Qro.",(442) 368 3030,http://www.hiltonhotels.com/,*****
HOTELES CITY EXPRESS SUITES,970.52,2.5000000000000001E-2,0.16,"Av. 5 de Febrero No. 9200, Col Parque Industrial Benito Juárez, 76100 Santiago de Querétaro, Qro.",(442) 103 3900,https://www.cityexpress.com/,****
