Index,k-features,accuracy,precision,recall,f1-score
FS_1_NB,1.0,0.5486111111111112,0.5552959173648829,0.6026079410412336,0.5459576621277688
FS_1_LR,1.0,0.6111111111111112,0.6067965492648671,0.6084558942576078,0.6048537411084484
FS_1_DT,1.0,0.6458333333333334,0.6672619047619048,0.6254881389520314,0.6286410715297966
FS_1_RF,1.0,0.5555555555555556,0.5586829891287418,0.5687668784364011,0.5630644767583778
FS_1_AB,1.0,0.6180555555555556,0.6162977301303686,0.5998232014143886,0.597043104757666
FS_3_NB,3.0,0.7569444444444444,0.7689393939393939,0.7744639376218324,0.7630331251423699
FS_3_LR,3.0,0.75,0.7568719986752773,0.749818991924255,0.7527462924953351
FS_3_DT,3.0,0.7708333333333334,0.8079763546173474,0.755889724310777,0.7655125342848189
FS_3_RF,3.0,0.7152777777777778,0.7280810844422335,0.7085769980506823,0.7136969696969698
FS_3_AB,3.0,0.7013888888888888,0.7204199435370034,0.7084099136730716,0.7114176512814542
FS_5_NB,5.0,0.6736111111111112,0.6931818181818182,0.716025641025641,0.6868246687054027
FS_5_LR,5.0,0.7777777777777778,0.7814072783584978,0.7856837606837607,0.7833333333333333
FS_5_DT,5.0,0.7083333333333334,0.7196797698345686,0.7316239316239316,0.71980056980057
FS_5_RF,5.0,0.7569444444444444,0.7570058374157703,0.7700854700854701,0.7622606871230002
FS_5_AB,5.0,0.7361111111111112,0.7547722281660003,0.7786324786324786,0.7468275476405557
FS_7_NB,7.0,0.7708333333333334,0.7814398856218373,0.7968050625096467,0.7795680963516904
FS_7_LR,7.0,0.7638888888888888,0.777694545987229,0.7682384112774606,0.7723733660130719
FS_7_DT,7.0,0.6041666666666666,0.6243756243756243,0.6048001234758451,0.6045310937397269
FS_7_RF,7.0,0.7777777777777778,0.7925176307529248,0.7801872716983073,0.7839099172432507
FS_7_AB,7.0,0.6944444444444444,0.7142429916263587,0.7086870401810978,0.7087962962962963
FS_9_NB,9.0,0.6875,0.6955403556771546,0.7186602870813396,0.698300369241398
FS_9_LR,9.0,0.7083333333333334,0.7227704678362573,0.6941919191919191,0.7051678492004658
FS_9_DT,9.0,0.7291666666666666,0.746457108397407,0.7334263689526846,0.7362015128030567
FS_9_RF,9.0,0.7291666666666666,0.736331513464902,0.7237905369484317,0.7290663573117606
FS_9_AB,9.0,0.6875,0.6964689964689965,0.6906432748538012,0.6926415187865569
FS_11_NB,11.0,0.75,0.7594293603313392,0.7718223979123874,0.7564352212455029
FS_11_LR,11.0,0.7708333333333334,0.7795664284036378,0.7670748879329277,0.7723320969855294
FS_11_DT,11.0,0.7569444444444444,0.7692926568688764,0.7626471082173908,0.7624000805396154
FS_11_RF,11.0,0.7916666666666666,0.7922002510985561,0.7981081011251921,0.794241037376049
FS_11_AB,11.0,0.7152777777777778,0.7396584896584897,0.7146811094317198,0.7205214964440844
FS_12_NB,12.0,0.7708333333333334,0.7795347868877281,0.7835637480798772,0.7780586462926541
FS_12_LR,12.0,0.7847222222222222,0.8051007801193125,0.779352278545827,0.7887726308778941
FS_12_DT,12.0,0.6805555555555556,0.7063840155945419,0.6727086533538147,0.6831041567883673
FS_12_RF,12.0,0.7916666666666666,0.8145281504414631,0.7847286226318483,0.7951437146252545
FS_12_AB,12.0,0.5902777777777778,0.6117810611752166,0.6024193548387097,0.6063509661070637
