Index,date,group,name,quantity,unit_cogs
0,2018-01-01,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.39
1,2018-01-01,GENERAL_ITEMS,BELLA PODPASKI BLUE MAX,2,2.85
2,2018-01-01,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,2,1.76
3,2018-01-01,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,4,2.14
4,2018-01-01,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,1,2.66
5,2018-01-01,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,1,2.85
6,2018-01-01,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZ 500 MML,1,3.71
7,2018-01-01,GENERAL_ITEMS,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,2,5.49
8,2018-01-01,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49
9,2018-01-01,GENERAL_ITEMS,PODPASKI BELLA  NOVA 10 SZT,1,2.05
10,2018-01-02,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.39
11,2018-01-02,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,1,2.14
12,2018-01-02,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,1,2.65
13,2018-01-02,GENERAL_ITEMS,PLYN DO ?AZIENKI 1 L ZÓ?TY,1,4.39
14,2018-01-02,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49
15,2018-01-02,GENERAL_ITEMS,WATA BAWELNIANA BELLA 100G,2,2.41
16,2018-01-03,GENERAL_ITEMS,BAMBINO SZAMPON 400 ML,1,6.29
17,2018-01-03,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.39
18,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI BLUE MAX,2,2.89
19,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,5,1.76
20,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,4,2.07
21,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,3,2.65
22,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,2,2.89
23,2018-01-03,GENERAL_ITEMS,BELLA PODPASKI PERFECTA GREEN,2,2.89
24,2018-01-03,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZ 500 MML,2,3.71
25,2018-01-03,GENERAL_ITEMS,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,1,10.99
26,2018-01-03,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,1,2.99
27,2018-01-03,GENERAL_ITEMS,WATA 100G BELLA,4,1.98
28,2018-01-04,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,2,2.53
29,2018-01-04,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,4,1.84
30,2018-01-04,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,2,2.07
31,2018-01-04,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,2,2.4
32,2018-01-04,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,4,3.18
33,2018-01-04,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZ 500 MML,3,4.19
34,2018-01-04,GENERAL_ITEMS,PODPASKI BELLA  NOVA 10 SZT,2,2.05
35,2018-01-05,GENERAL_ITEMS,BAMBINO SZAMPON 400 ML,1,6.29
36,2018-01-05,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.53
37,2018-01-05,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,6,1.84
38,2018-01-05,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,4,2.5875
39,2018-01-05,GENERAL_ITEMS,PLYN KAMIEN I RDZA 750 ML,1,5.49
40,2018-01-05,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,1,3.15
41,2018-01-05,GENERAL_ITEMS,TAMPONY BELLA A/8 SUPER,3,3.15
42,2018-01-05,GENERAL_ITEMS,TAMPONY BELLA A/8 SUPER PLUS,2,3.15
43,2018-01-05,GENERAL_ITEMS,WATA 100G BELLA,2,1.98
44,2018-01-06,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,2,2.53
45,2018-01-06,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,2,1.84
46,2018-01-06,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,2,2.08
47,2018-01-06,GENERAL_ITEMS,ODSWIEZACZ SZYSZKA ZAPAS,1,3.6
48,2018-01-06,GENERAL_ITEMS,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,2,10.99
49,2018-01-06,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,2,3.15
50,2018-01-06,GENERAL_ITEMS,TAMPONY BELLA A/8 SUPER PLUS,1,3.15
51,2018-01-07,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,1,2.53
52,2018-01-07,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,8,1.76
53,2018-01-07,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,4,2.09
54,2018-01-07,GENERAL_ITEMS,BELLA PODPASKI NOVA MAXI 10,2,2.57
55,2018-01-07,GENERAL_ITEMS,BELLA PODPASKI PERFECTA GREEN,2,2.89
56,2018-01-07,GENERAL_ITEMS,PLYN DO ?AZIENKI 1 L ZÓ?TY,1,4.39
57,2018-01-07,GENERAL_ITEMS,PODPASKI BELLA  NOVA 10 SZT,4,2.05
58,2018-01-07,GENERAL_ITEMS,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,1,10.99
59,2018-01-08,GENERAL_ITEMS,BELLA HERBS 12 Z WERBENA,2,2.51
60,2018-01-08,GENERAL_ITEMS,BELLA PODPASKI BLUE MAX,2,2.89
61,2018-01-08,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,5,1.778
62,2018-01-08,GENERAL_ITEMS,BELLA PODPASKI NORMAL MAXI 10,3,2.09
63,2018-01-08,GENERAL_ITEMS,BELLA PODPASKI PERF.BLUE 10,4,3.58
64,2018-01-08,GENERAL_ITEMS,EVA MYDLO W PLYNIE Z DOZOW.500 ML,1,3.71
65,2018-01-08,GENERAL_ITEMS,TAMPON BELLA A/8 REGULAR,3,3.15
66,2018-01-09,GENERAL_ITEMS,BELLA PODPASKI NORMAL 20 B/SKRZYD,10,1.85
