Index,City,Country,Latitude,Longitude
0,kapaa,US,22.08,-159.32
1,georgetown,MY,5.41,100.34
2,kodiak,US,57.79,-152.41
3,xichang,CN,27.9,102.26
4,dingle,PH,11.0,122.67
5,yicheng,CN,31.37,119.87
6,punta arenas,CL,-53.15,-70.92
7,albany,US,42.6,-73.97
8,puerto ayora,EC,-0.74,-90.35
9,hilo,US,19.73,-155.09
10,asyut,EG,27.18,31.18
11,rikitea,PF,-23.12,-134.97
12,tuktoyaktuk,CA,69.45,-133.04
13,bethel,US,41.37,-73.41
14,yellowknife,CA,62.46,-114.35
15,provideniya,RU,64.38,-173.3
16,muroto,JP,33.28,134.15
17,mangochi,MW,-14.48,35.26
18,sicuani,PE,-14.27,-71.23
19,warmbad,,-28.45,18.73
20,lebu,CL,-37.62,-73.65
21,tasiilaq,GL,65.61,-37.64
22,beian,NO,63.66,9.57
23,vao,NC,-22.67,167.48
24,abong mbang,CM,3.98,13.18
25,reforma,MX,18.1,-91.02
26,bathsheba,BB,13.22,-59.52
27,namibe,AO,-15.2,12.15
28,quatre cocos,MU,-20.21,57.76
29,cape town,ZA,-33.93,18.42
30,araouane,ML,18.9,-3.53
31,itapirapua,BR,-15.82,-50.61
32,arraial do cabo,BR,-22.97,-42.03
33,conceicao do araguaia,BR,-8.26,-49.26
34,port alfred,ZA,-33.59,26.89
35,nikolskoye,RU,59.7,30.79
36,busselton,AU,-33.65,115.33
37,ushuaia,AR,-54.8,-68.3
38,tanout,NE,14.97,8.89
39,krasnoarmeysk,RU,51.02,45.7
40,hermanus,ZA,-34.42,19.23
41,husavik,IS,66.04,-17.34
42,illapel,CL,-31.63,-71.17
43,tiznit,MA,29.58,-9.5
44,ambanja,MG,-13.68,48.45
45,vaini,TO,-21.2,-175.2
46,upernavik,GL,72.79,-56.15
47,uige,AO,-7.61,15.06
48,juneau,US,58.3,-134.42
49,shubarshi,KZ,48.59,57.19
50,jamestown,US,42.1,-79.24
51,ampanihy,MG,-24.7,44.75
52,kholtoson,RU,50.3,103.31
53,san quintin,MX,30.48,-115.95
54,katsuura,JP,35.13,140.3
55,new norfolk,AU,-42.78,147.06
56,carlyle,US,38.61,-89.37
57,souillac,MU,-20.52,57.52
58,hithadhoo,MV,-0.6,73.08
59,bredasdorp,ZA,-34.53,20.04
60,mar del plata,AR,-38.0,-57.56
61,dikson,RU,73.51,80.55
62,baculin,PH,7.45,126.58
63,khatanga,RU,71.97,102.5
64,ichinoseki,JP,38.92,141.13
65,airai,TL,-8.93,125.41
66,cidreira,BR,-30.18,-50.21
67,butaritari,KI,3.07,172.79
68,son la,VN,21.32,103.9
69,ostrovnoy,RU,68.05,39.51
70,atuona,PF,-9.8,-139.03
71,bluff,NZ,-46.6,168.33
72,imbituba,BR,-28.24,-48.67
73,mantua,IT,45.17,10.78
74,carnarvon,AU,-24.87,113.63
75,lamar,US,33.67,-95.58
76,sambava,MG,-14.27,50.17
