Site,Business Unit,Product,Method,Category,Var,Act-For,Bud,Gap
Acme,Toys,Anvil,Drop,Roadrunner,Apr,18.75,82.49,-63.74
Acme,Toys,Anvil,Drop,Roadrunner,Aug,121.87,94.78,-26.06
Acme,Toys,Anvil,Drop,Roadrunner,Dec,69.02,81.2,48.59
Acme,Toys,Anvil,Drop,Roadrunner,Feb,102.82,114.24,20.55
Acme,Toys,Anvil,Drop,Roadrunner,Jan,105.85,117.62,8.39
Acme,Toys,Anvil,Drop,Roadrunner,Jul,117.03,87.86,-22.25
Acme,Toys,Anvil,Drop,Roadrunner,Jun,80.02,76.19,7.84
Acme,Toys,Anvil,Drop,Roadrunner,Mar,111.04,123.37,-12.34
Acme,Toys,Anvil,Drop,Roadrunner,May,72.21,77.96,59.21
Acme,Toys,Anvil,Drop,Roadrunner,Nov,73.3,86.24,7.9
Acme,Toys,Anvil,Drop,Roadrunner,Oct,81.24,95.57,5.0
Acme,Toys,Anvil,Drop,Roadrunner,Sep,150.42,95.81,-54.85
Amazon,Toys,Anvil,Drop,Roadrunner,Apr,18.35,85.59,-56.44
Amazon,Toys,Anvil,Drop,Roadrunner,Aug,121.77,88.88,-24.36
Amazon,Toys,Anvil,Drop,Roadrunner,Dec,61.12,81.6,56.59
Amazon,Toys,Anvil,Drop,Roadrunner,Feb,103.92,113.74,11.95
Amazon,Toys,Anvil,Drop,Roadrunner,Jan,114.95,107.82,4.89
Amazon,Toys,Anvil,Drop,Roadrunner,Jul,108.53,89.06,-13.25
Amazon,Toys,Anvil,Drop,Roadrunner,Jun,80.72,71.89,-0.96
Amazon,Toys,Anvil,Drop,Roadrunner,Mar,113.64,114.07,-12.24
Amazon,Toys,Anvil,Drop,Roadrunner,May,66.81,74.56,60.41
Amazon,Toys,Anvil,Drop,Roadrunner,Nov,72.3,76.34,-0.1
Amazon,Toys,Anvil,Drop,Roadrunner,Oct,74.44,86.97,9.0
Amazon,Toys,Anvil,Drop,Roadrunner,Sep,156.82,87.91,-53.75
Publix,Toys,Anvil,Drop,Roadrunner,Apr,8.45,85.99,-52.54
Publix,Toys,Anvil,Drop,Roadrunner,Aug,133.17,94.28,-21.96
