Site,Date1,Date2,Taxon,Cover1,Height1,Cover2,Height2
EEE-01,10/27/2020,3/9/2021,Acacia bivenosa,0.1,1.2,0.1,1.2
EEE-01,10/27/2020,3/9/2021,Acacia inaequilatera,2.0,3.0,2.0,3.0
EEE-01,10/27/2020,3/9/2021,Acacia incurvaneura,0.1,3.0,0.1,3.0
EEE-01,10/27/2020,3/9/2021,Duperreya commixta,0.1,0.0,0.1,
EEE-01,10/27/2020,3/9/2021,Enneapogon caerulescens,0.1,0.1,,
EEE-01,10/27/2020,3/9/2021,Sporobolus australasicus,0.1,0.1,,
EEE-01,10/27/2020,3/9/2021,Triodia wiseana,50.0,0.5,50.0,0.5
EEE-01,10/27/2020,3/9/2021,Heliotropium inexplicitum,,,0.1,0.1
EEE-01,10/27/2020,3/9/2021,Vincetoxicum carnosum,,,0.1,
EEE-02,10/29/2020,3/9/2021,Acacia incurvaneura,0.1,2.0,0.1,2.0
EEE-02,10/29/2020,3/9/2021,Corchorus sidoides subsp. sidoides,0.1,0.3,0.1,0.5
EEE-02,10/29/2020,3/9/2021,Corymbia hamersleyana,1.0,8.0,1.0,8.0
EEE-02,10/29/2020,3/9/2021,Crotalaria medicaginea var. neglecta,0.1,0.1,0.1,0.4
EEE-02,10/29/2020,3/9/2021,Cymbopogon ambiguus,20.0,1.5,20.0,1.5
EEE-02,10/29/2020,3/9/2021,Eragrostis cumingii,0.1,0.1,,
EEE-02,10/29/2020,3/9/2021,Eucalyptus victrix,0.1,3.5,0.1,3.5
EEE-02,10/29/2020,3/9/2021,Ptilotus exaltatus,0.1,0.3,,
EEE-02,10/29/2020,3/9/2021,Senna glutinosa subsp. glutinosa,0.1,0.2,0.1,0.2
EEE-02,10/29/2020,3/9/2021,Setaria verticillata,0.1,0.3,,
EEE-02,10/29/2020,3/9/2021,Sporobolus australasicus,0.1,0.1,,
EEE-02,10/29/2020,3/9/2021,Streptoglossa decurrens,0.1,0.4,,
EEE-02,10/29/2020,3/9/2021,Triodia wiseana,0.1,0.4,,
EEE-02,10/29/2020,3/9/2021,Aristida contorta,,,0.1,0.2
EEE-02,10/29/2020,3/9/2021,Setaria surgens,,,0.1,0.2
EEE-02,10/29/2020,3/9/2021,Solanum lasiophyllum,,,0.1,0.4
EEE-03,10/27/2020,3/10/2021,Abutilon otocarpum,0.1,0.2,,
EEE-03,10/27/2020,3/10/2021,Acacia aneura,0.1,2.5,0.1,2.5
EEE-03,10/27/2020,3/10/2021,Acacia bivenosa,0.1,2.5,0.1,2.5
EEE-03,10/27/2020,3/10/2021,Acacia dictyophleba,0.1,1.4,0.1,1.4
EEE-03,10/27/2020,3/10/2021,Anthobolus leptomerioides,0.1,1.1,,
EEE-03,10/27/2020,3/10/2021,Aristida inaequiglumis,0.1,0.5,0.1,0.5
EEE-03,10/27/2020,3/10/2021,Arivela viscosa,1.0,0.6,0.1,0.4
EEE-03,10/27/2020,3/10/2021,Atalaya hemiglauca,1.0,3.5,1.0,3.5
EEE-03,10/27/2020,3/10/2021,Bidens bipinnata,0.1,0.3,0.1,0.3
