PK,Date,AG,ART,Var,BA,BS,BZ,MA
1,01.01.2021,1,A1,1,100,10.0,50.0,M1
1,01.01.2021,1,A1,2,105,15.0,60.0,M2
1,01.01.2021,1,A1,3,110.0,20.0,70.0,M3
2,01.01.2021,1,A2,1,100,11.0,8.0,M2
2,01.01.2021,1,A2,2,113,12.0,9.0,M3
2,01.01.2021,1,A2,3,,18.0,,
3,02.01.2021,2,A3,1,100,3.0,2.0,M3
3,02.01.2021,2,A3,2,2,,,
3,02.01.2021,2,A3,3,,,6.0,
4,02.01.2021,5,A3,1,12,,,
4,02.01.2021,5,A3,2,13,,,
4,02.01.2021,5,A3,3,,8.0,8.0,
5,03.01.2021,3,A4,1,100,3.0,7.0,M2
5,03.01.2021,3,A4,2,102,4.0,8.0,M3
5,03.01.2021,3,A4,3,103.0,5.0,9.0,M1
6,03.01.2021,1,A5,1,100,3.0,8.0,M3
6,03.01.2021,1,A5,2,105,5.0,8.0,M1
6,03.01.2021,1,A5,3,7.0,,,
