Payment_ID1,Payment1,Due Date1,Actual Payment Date1,Remaining1,Payment_ID2,Payment2,Due Date2,Actual Payment Date2,Remaining2,Payment_ID3,Payment3,Due Date3,Actual Payment Date3,Remaining3
KCA/C-HELAL-V3/S/F-01/R1/M1-TNS-2000,1000,3-Apr-21,4/11/2021,1000,KCA/C-HELAL-V3/S/F-01/R1/M2-CASH-2000,2000.0,3-May-21,,0,KCA/C-HELAL-V3/S/F-01/R1/M3-CASH-2000,2000.0,3-Jun-21,,0
KCA/C-HELAL-V3/S/F-02/R1/M1-CASH-2000,2000,20-Nov-20,11/15/2021,0,KCA/C-HELAL-V3/S/F-02/R1/M2-CASH-2000,2000.0,20-Dec-20,23-Dec-20,0,KCA/C-HELAL-V3/S/F-02/R1/M3-CASH-2000,2000.0,20-Jan-21,19-Jan-21,0
KCA/C-HELAL-V3/S/F-03/R1/3P1-CASH-9000,9000,12-Aug-21,8/13/2021,0,KCA/C-HELAL-V3/S/F-03/R1/3P2-CASH-10000,10000.0,25-Nov-21,29-Nov-21,0,KCA/C-HELAL-V3/S/F-03/R1/3P3-TNS-9000-1,7000.0,25-Mar-21,11-Apr-21,2000
KCA/C-HELAL-V3/S/F-05/R1/5P1-TNS-1000,1000,30-Oct-20,10/27/2020,0,KCA/C-HELAL-V3/S/F-05/R1/5P2-TNS-5250,5250.0,2-Nov-20,8-Nov-20,5250,KCA/C-HELAL-V3/S/F-05/R1/5P3-TNS-6250,6250.0,2-Feb-21,6-Feb-21,0
KCA/C-HELAL-V3/S/F-06/R1/3P1-TNS-10000,10000,1-Aug-21,10/7/2020,0,KCA/C-HELAL-V3/S/F-06/R1/3P2-TNS-15000-1,10000.0,1-Dec-20,23-Dec-20,0,KCA/C-HELAL-V3/S/F-06/R1/M2-TNS-15000-2,5000.0,1-Dec-20,9-Mar-21,0
KCA/C-HELAL-V3/IBHR/F-07/R1/M1-CASH-3700,3700,4-Aug-20,8/29/2020,0,KCA/C-HELAL-V3/IBHR/F-07/R1/M2-CASH-3700,3700.0,4-Sep-20,28-Sep-20,0,KCA/C-HELAL-V3/IBHR/F-07/R1/M3-CASH-3700,3700.0,4-Oct-20,4-Nov-20,0
KCA/C-HELAL-V3/IBHR/F-08/R1/M1-CASH-3200,3200,1-Jul-20,6/25/2020,0,KCA/C-HELAL-V3/IBHR/F-08/R1/M2-CASH-3200,3200.0,1-Aug-20,3-Aug-20,0,KCA/C-HELAL-V3/IBHR/F-08/R1/M3-CASH-3200,3200.0,1-Sep-20,5-Sep-20,0
KCA/C-HELAL-V3/S/F-09/R1/M1-TR-2000,2000,1-May-20,4/30/2020,0,KCA/C-HELAL-V3/S/F-09/R1/M2-TR-2000,2000.0,1-Jun-20,,0,KCA/C-HELAL-V3/S/F-09/R1/M3-TR-2000,2000.0,1-Jul-20,,0
KCA/C-HELAL-V3/S/F-10/R1/M1-TR-2300,2300,22-Jul-20,8/3/2020,0,KCA/C-HELAL-V3/S/F-10/R1/M2-TR-2300,2300.0,22-Aug-20,7-Sep-20,0,KCA/C-HELAL-V3/S/F-10/R1/M3-TR-2300,2300.0,22-Sep-20,4-Oct-20,0
KCA/C-HELAL-V3/S/F-11/R1/M1-TR-1800,1800,1-Aug-20,7/28/2020,0,KCA/C-HELAL-V3/S/F-11/R1/M2-TR-1800,1800.0,1-Sep-21,29-Aug-20,0,KCA/C-HELAL-V3/S/F-11/R1/M3-TR-1800,1800.0,1-Oct-20,30-Sep-20,0
KCA/C-HELAL-V3/S/F-12/R1/2P1-CHQ-19000,19000,3-Aug-20,8/3/2020,0,KCA/C-HELAL-V3/S/F-12/R1/2P2-CHQ-10000,10000.0,1-Feb-21,1-Feb-21,0,,,,,0
KCA/C-HELAL-V4/S/F-01/R1/M1-TNS-2000,2000,26-Apr-20,4/27/2020,0,KCA/C-HELAL-V4/S/F-01/R1/M2-CASH-2000,2000.0,26-May-20,21-May-20,0,KCA/C-HELAL-V4/S/F-01/R1/M3-CASH-2000,2000.0,26-Jun-20,25-Jun-20,0
KCA/C-HELAL-V4/S/F-02/R1/3P1-CASH-10000,10000,22-Dec-20,12/19/2020,0,KCA/C-HELAL-V4/S/F-02/R1/3P2-CASH-10000,10000.0,1-Apr-21,1-Apr-21,0,KCA/C-HELAL-V4/S/F-02/R1/3P3-CASH-8000,8000.0,1-Aug-21,,0
KCA/C-HELAL-V4/S/F-05/R1/M1-CASH-2200,2200,25-Dec-20,2/18/2020,0,KCA/C-HELAL-V4/S/F-05/R1/M2-CASH-2200,2200.0,25-Jan-21,28-Feb-21,0,KCA/C-HELAL-V4/S/F-05/R1/M3-CASH-2200,2200.0,25-Feb-21,7-Apr-21,0
KCA/C-HELAL-V4/S/F-06/R1/M1-CASH-2400,2400,10-Dec-20,12/22/2020,0,KCA/C-HELAL-V4/S/F-06/R1/M2-CASH-2400,2400.0,10-Jan-21,4-Jan-21,0,KCA/C-HELAL-V4/S/F-06/R1/M3-CASH-2400,2400.0,10-Feb-21,7-Feb-21,0
KCA/C-HELAL-V4/IBHR/F-07/R1/1P1-CASH-40000,40000,10-Nov-20,11/4/2021,0,,,,,0,,,,,0
KCA/C-HELAL-V4/IBHR/F-08/R1/M1-CASH-3200,3000,25-Dec-20,12/31/2020,200,KCA/C-HELAL-V4/IBHR/F-08/R1/M2-CASH-3200,3000.0,25-Jan-21,14-Feb-21,200,KCA/C-HELAL-V4/IBHR/F-08/R1/M3-CASH-3200,,,,0
KCA/C-HELAL-V4/S/F-09/R1/M1-CASH-2000,2000,10-Apr-21,4/14/2021,0,KCA/C-HELAL-V4/S/F-09/R1/M2-CASH-2000,2000.0,10-May-21,,0,KCA/C-HELAL-V4/S/F-09/R1/M3-CASH-2000,2000.0,10-Jun-21,,0
KCA/C-HELAL-V4/S/F-10/R1/M1-TNS-3500,2250,25-Dec-20,12/21/2020,0,KCA/C-HELAL-V4/S/F-10/R1/M2-TNS-5000-1,2250.0,25-Jan-21,17-Feb-21,0,KCA/C-HELAL-V4/S/F-10/R1/M3-TNS-5000-2,2250.0,25-Feb-21,17-Feb-21,0
KCA/C-HELAL-V4/S/F-11/R1/M1-CASH-1500,1500,1-Apr-21,4/1/2021,0,KCA/C-HELAL-V4/S/F-11/R1/M2-CASH-1500,1500.0,1-May-21,,0,KCA/C-HELAL-V4/S/F-11/R1/M3-CASH-1500,1500.0,1-Jun-21,,0
KCA/C-HELAL-V4/S/F-12/R1/M1-CASH-2800,2800,1-Apr-21,4/1/2021,0,KCA/C-HELAL-V4/S/F-12/R1/M2-CASH-2800,2800.0,1-May-21,,0,KCA/C-HELAL-V4/S/F-12/R1/M3-CASH-2800,2800.0,1-Jun-21,,0
