id,title,rating,year,duration,actor_1,actor_2,actor_3,actor_fb_likes_1,actor_fb_likes_2,actor_fb_likes_3
0,Avatar,PG-13,2009.0,178.0,CCH Pounder,Joel David Moore,Wes Studi,1000.0,936.0,855.0
1,Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
2,Spectre,PG-13,2015.0,148.0,Christoph Waltz,Rory Kinnear,Stephanie Sigman,11000.0,393.0,161.0
3,The Dark Knight Rises,PG-13,2012.0,164.0,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,27000.0,23000.0,23000.0
4,Star Wars: Episode VII - The Force Awakens,,,,Doug Walker,Rob Walker,,131.0,12.0,
5,John Carter,PG-13,2012.0,132.0,Daryl Sabara,Samantha Morton,Polly Walker,640.0,632.0,530.0
6,Spider-Man 3,PG-13,2007.0,156.0,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
7,Tangled,PG,2010.0,100.0,Brad Garrett,Donna Murphy,M.C. Gainey,799.0,553.0,284.0
8,Avengers: Age of Ultron,PG-13,2015.0,141.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
9,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,Alan Rickman,Daniel Radcliffe,Rupert Grint,25000.0,11000.0,10000.0
10,Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,Henry Cavill,Lauren Cohan,Alan D. Purwin,15000.0,4000.0,2000.0
11,Superman Returns,PG-13,2006.0,169.0,Kevin Spacey,Marlon Brando,Frank Langella,18000.0,10000.0,903.0
12,Quantum of Solace,PG-13,2008.0,106.0,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,451.0,412.0,393.0
13,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
14,The Lone Ranger,PG-13,2013.0,150.0,Johnny Depp,Ruth Wilson,Tom Wilkinson,40000.0,2000.0,1000.0
15,Man of Steel,PG-13,2013.0,143.0,Henry Cavill,Christopher Meloni,Harry Lennix,15000.0,3000.0,748.0
16,The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,22000.0,216.0,201.0
17,The Avengers,PG-13,2012.0,173.0,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
18,Pirates of the Caribbean: On Stranger Tides,PG-13,2011.0,136.0,Johnny Depp,Sam Claflin,Stephen Graham,40000.0,11000.0,1000.0
19,Men in Black 3,PG-13,2012.0,106.0,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,10000.0,816.0,718.0
20,The Hobbit: The Battle of the Five Armies,PG-13,2014.0,164.0,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
21,The Amazing Spider-Man,PG-13,2012.0,153.0,Emma Stone,Andrew Garfield,Chris Zylka,15000.0,10000.0,963.0
22,Robin Hood,PG-13,2010.0,156.0,Mark Addy,William Hurt,Scott Grimes,891.0,882.0,738.0
23,The Hobbit: The Desolation of Smaug,PG-13,2013.0,186.0,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
24,The Golden Compass,PG-13,2007.0,113.0,Christopher Lee,Eva Green,Kristin Scott Thomas,16000.0,6000.0,1000.0
25,King Kong,PG-13,2005.0,201.0,Naomi Watts,Thomas Kretschmann,Evan Parke,6000.0,919.0,84.0
26,Titanic,PG-13,1997.0,194.0,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,29000.0,14000.0,794.0
27,Captain America: Civil War,PG-13,2016.0,147.0,Robert Downey Jr.,Scarlett Johansson,Chris Evans,21000.0,19000.0,11000.0
28,Battleship,PG-13,2012.0,131.0,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,14000.0,10000.0,627.0
29,Jurassic World,PG-13,2015.0,124.0,Bryce Dallas Howard,Judy Greer,Omar Sy,3000.0,2000.0,1000.0
30,Skyfall,PG-13,2012.0,143.0,Albert Finney,Helen McCrory,Rory Kinnear,883.0,563.0,393.0
31,Spider-Man 2,PG-13,2004.0,135.0,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
32,Iron Man 3,PG-13,2013.0,195.0,Robert Downey Jr.,Jon Favreau,Don Cheadle,21000.0,4000.0,3000.0
33,Alice in Wonderland,PG,2010.0,108.0,Johnny Depp,Alan Rickman,Anne Hathaway,40000.0,25000.0,11000.0
34,X-Men: The Last Stand,PG-13,2006.0,104.0,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,20000.0,808.0,560.0
35,Monsters University,G,2013.0,104.0,Steve Buscemi,Tyler Labine,Sean Hayes,12000.0,779.0,760.0
36,Transformers: Revenge of the Fallen,PG-13,2009.0,150.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,894.0,581.0,464.0
37,Transformers: Age of Extinction,PG-13,2014.0,165.0,Bingbing Li,Sophia Myles,Kelsey Grammer,974.0,956.0,808.0
38,Oz the Great and Powerful,PG,2013.0,130.0,Tim Holmes,Mila Kunis,James Franco,44000.0,15000.0,11000.0
39,The Amazing Spider-Man 2,PG-13,2014.0,142.0,Emma Stone,Andrew Garfield,B.J. Novak,15000.0,10000.0,825.0
40,TRON: Legacy,PG,2010.0,125.0,Jeff Bridges,Olivia Wilde,James Frain,12000.0,10000.0,1000.0
41,Cars 2,G,2011.0,106.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,1000.0,919.0,776.0
42,Green Lantern,PG-13,2011.0,123.0,Ryan Reynolds,Temuera Morrison,Taika Waititi,16000.0,368.0,326.0
43,Toy Story 3,G,2010.0,103.0,Tom Hanks,John Ratzenberger,Don Rickles,15000.0,1000.0,721.0
44,Terminator Salvation,PG-13,2009.0,118.0,Christian Bale,Bryce Dallas Howard,Common,23000.0,3000.0,989.0
45,Furious 7,PG-13,2015.0,140.0,Jason Statham,Paul Walker,Vin Diesel,26000.0,23000.0,14000.0
46,World War Z,PG-13,2013.0,123.0,Peter Capaldi,Brad Pitt,Mireille Enos,17000.0,11000.0,1000.0
47,X-Men: Days of Future Past,PG-13,2014.0,149.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,34000.0,22000.0,20000.0
48,Star Trek Into Darkness,PG-13,2013.0,132.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,19000.0,991.0,928.0
49,Jack the Giant Slayer,PG-13,2013.0,114.0,Eddie Marsan,Ewen Bremner,Ralph Brown,979.0,557.0,140.0
50,The Great Gatsby,PG-13,2013.0,143.0,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,29000.0,509.0,77.0
51,Prince of Persia: The Sands of Time,PG-13,2010.0,116.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,15000.0,567.0,236.0
52,Pacific Rim,PG-13,2013.0,131.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,16000.0,968.0,919.0
53,Transformers: Dark of the Moon,PG-13,2011.0,154.0,Glenn Morshower,Lester Speight,Kevin Dunn,894.0,829.0,581.0
54,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008.0,122.0,Harrison Ford,Ray Winstone,Jim Broadbent,11000.0,1000.0,1000.0
55,The Good Dinosaur,PG,2015.0,93.0,A.J. Buckley,Jack McGraw,Peter Sohn,275.0,150.0,113.0
56,Brave,PG,2012.0,93.0,Kelly Macdonald,John Ratzenberger,Julie Walters,2000.0,1000.0,838.0
57,Star Trek Beyond,PG-13,2016.0,122.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,998.0,119.0,105.0
58,WALL·E,G,2008.0,98.0,John Ratzenberger,Fred Willard,Jeff Garlin,1000.0,729.0,522.0
59,Rush Hour 3,PG-13,2007.0,91.0,Tzi Ma,Dana Ivey,Noémie Lenoir,268.0,271.0,173.0
60,2012,PG-13,2009.0,158.0,Oliver Platt,Liam James,Tom McCarthy,1000.0,468.0,310.0
61,A Christmas Carol,PG,2009.0,96.0,Robin Wright,Colin Firth,Gary Oldman,18000.0,14000.0,10000.0
62,Jupiter Ascending,PG-13,2015.0,127.0,Channing Tatum,Mila Kunis,Eddie Redmayne,17000.0,15000.0,13000.0
