id,title,rating,year,duration,Var,actor,actor_fb_likes
0,Avatar,PG-13,2009.0,178.0,1,CCH Pounder,1000.0
0,Avatar,PG-13,2009.0,178.0,2,Joel David Moore,936.0
0,Avatar,PG-13,2009.0,178.0,3,Wes Studi,855.0
1,Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,1,Johnny Depp,40000.0
1,Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,2,Orlando Bloom,5000.0
1,Pirates of the Caribbean: At World's End,PG-13,2007.0,169.0,3,Jack Davenport,1000.0
2,Spectre,PG-13,2015.0,148.0,1,Christoph Waltz,11000.0
2,Spectre,PG-13,2015.0,148.0,2,Rory Kinnear,393.0
2,Spectre,PG-13,2015.0,148.0,3,Stephanie Sigman,161.0
3,The Dark Knight Rises,PG-13,2012.0,164.0,1,Tom Hardy,27000.0
3,The Dark Knight Rises,PG-13,2012.0,164.0,2,Christian Bale,23000.0
3,The Dark Knight Rises,PG-13,2012.0,164.0,3,Joseph Gordon-Levitt,23000.0
4,Star Wars: Episode VII - The Force Awakens,,,,1,Doug Walker,131.0
4,Star Wars: Episode VII - The Force Awakens,,,,2,Rob Walker,12.0
4,Star Wars: Episode VII - The Force Awakens,,,,3,,
5,John Carter,PG-13,2012.0,132.0,1,Daryl Sabara,640.0
5,John Carter,PG-13,2012.0,132.0,2,Samantha Morton,632.0
5,John Carter,PG-13,2012.0,132.0,3,Polly Walker,530.0
6,Spider-Man 3,PG-13,2007.0,156.0,1,J.K. Simmons,24000.0
6,Spider-Man 3,PG-13,2007.0,156.0,2,James Franco,11000.0
6,Spider-Man 3,PG-13,2007.0,156.0,3,Kirsten Dunst,4000.0
7,Tangled,PG,2010.0,100.0,1,Brad Garrett,799.0
7,Tangled,PG,2010.0,100.0,2,Donna Murphy,553.0
7,Tangled,PG,2010.0,100.0,3,M.C. Gainey,284.0
8,Avengers: Age of Ultron,PG-13,2015.0,141.0,1,Chris Hemsworth,26000.0
8,Avengers: Age of Ultron,PG-13,2015.0,141.0,2,Robert Downey Jr.,21000.0
8,Avengers: Age of Ultron,PG-13,2015.0,141.0,3,Scarlett Johansson,19000.0
9,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,1,Alan Rickman,25000.0
9,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,2,Daniel Radcliffe,11000.0
9,Harry Potter and the Half-Blood Prince,PG,2009.0,153.0,3,Rupert Grint,10000.0
10,Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,1,Henry Cavill,15000.0
10,Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,2,Lauren Cohan,4000.0
10,Batman v Superman: Dawn of Justice,PG-13,2016.0,183.0,3,Alan D. Purwin,2000.0
11,Superman Returns,PG-13,2006.0,169.0,1,Kevin Spacey,18000.0
11,Superman Returns,PG-13,2006.0,169.0,2,Marlon Brando,10000.0
11,Superman Returns,PG-13,2006.0,169.0,3,Frank Langella,903.0
12,Quantum of Solace,PG-13,2008.0,106.0,1,Giancarlo Giannini,451.0
12,Quantum of Solace,PG-13,2008.0,106.0,2,Mathieu Amalric,412.0
12,Quantum of Solace,PG-13,2008.0,106.0,3,Rory Kinnear,393.0
13,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,1,Johnny Depp,40000.0
13,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,2,Orlando Bloom,5000.0
13,Pirates of the Caribbean: Dead Man's Chest,PG-13,2006.0,151.0,3,Jack Davenport,1000.0
14,The Lone Ranger,PG-13,2013.0,150.0,1,Johnny Depp,40000.0
14,The Lone Ranger,PG-13,2013.0,150.0,2,Ruth Wilson,2000.0
14,The Lone Ranger,PG-13,2013.0,150.0,3,Tom Wilkinson,1000.0
15,Man of Steel,PG-13,2013.0,143.0,1,Henry Cavill,15000.0
15,Man of Steel,PG-13,2013.0,143.0,2,Christopher Meloni,3000.0
15,Man of Steel,PG-13,2013.0,143.0,3,Harry Lennix,748.0
16,The Chronicles of Narnia: Prince Caspian,PG,2008.0,150.0,1,Peter Dinklage,22000.0
