index,Date,Day,Var,Cases,Deaths
0,1/5/2015,289,Guinea,2776.0,1786.0
0,1/5/2015,289,Liberia,,
0,1/5/2015,289,Mali,,
0,1/5/2015,289,Nigeria,,
0,1/5/2015,289,Senegal,,
0,1/5/2015,289,SierraLeone,10030.0,2977.0
0,1/5/2015,289,Spain,,
0,1/5/2015,289,UnitedStates,,
1,1/4/2015,288,Guinea,2775.0,1781.0
1,1/4/2015,288,Liberia,,
1,1/4/2015,288,Mali,,
1,1/4/2015,288,Nigeria,,
1,1/4/2015,288,Senegal,,
1,1/4/2015,288,SierraLeone,9780.0,2943.0
1,1/4/2015,288,Spain,,
1,1/4/2015,288,UnitedStates,,
2,1/3/2015,287,Guinea,2769.0,1767.0
2,1/3/2015,287,Liberia,8166.0,3496.0
2,1/3/2015,287,Mali,,
2,1/3/2015,287,Nigeria,,
2,1/3/2015,287,Senegal,,
2,1/3/2015,287,SierraLeone,9722.0,2915.0
2,1/3/2015,287,Spain,,
2,1/3/2015,287,UnitedStates,,
3,1/2/2015,286,Guinea,,
3,1/2/2015,286,Liberia,8157.0,3496.0
3,1/2/2015,286,Mali,,
3,1/2/2015,286,Nigeria,,
3,1/2/2015,286,Senegal,,
3,1/2/2015,286,SierraLeone,,
3,1/2/2015,286,Spain,,
3,1/2/2015,286,UnitedStates,,
4,12/31/2014,284,Guinea,2730.0,1739.0
4,12/31/2014,284,Liberia,8115.0,3471.0
4,12/31/2014,284,Mali,,
4,12/31/2014,284,Nigeria,,
4,12/31/2014,284,Senegal,,
4,12/31/2014,284,SierraLeone,9633.0,2827.0
4,12/31/2014,284,Spain,,
4,12/31/2014,284,UnitedStates,,
5,12/28/2014,281,Guinea,2706.0,1708.0
5,12/28/2014,281,Liberia,8018.0,3423.0
5,12/28/2014,281,Mali,,
5,12/28/2014,281,Nigeria,,
5,12/28/2014,281,Senegal,,
5,12/28/2014,281,SierraLeone,9446.0,2758.0
5,12/28/2014,281,Spain,,
5,12/28/2014,281,UnitedStates,,
6,12/27/2014,280,Guinea,2695.0,1697.0
6,12/27/2014,280,Liberia,,
6,12/27/2014,280,Mali,,
6,12/27/2014,280,Nigeria,,
6,12/27/2014,280,Senegal,,
6,12/27/2014,280,SierraLeone,9409.0,2732.0
6,12/27/2014,280,Spain,,
6,12/27/2014,280,UnitedStates,,
7,12/24/2014,277,Guinea,2630.0,
7,12/24/2014,277,Liberia,7977.0,3413.0
7,12/24/2014,277,Mali,,
7,12/24/2014,277,Nigeria,,
7,12/24/2014,277,Senegal,,
7,12/24/2014,277,SierraLeone,9203.0,2655.0
7,12/24/2014,277,Spain,,
7,12/24/2014,277,UnitedStates,,
8,12/21/2014,273,Guinea,2597.0,1607.0
8,12/21/2014,273,Liberia,,
8,12/21/2014,273,Mali,,
8,12/21/2014,273,Nigeria,,
8,12/21/2014,273,Senegal,,
8,12/21/2014,273,SierraLeone,9004.0,2582.0
8,12/21/2014,273,Spain,,
8,12/21/2014,273,UnitedStates,,
9,12/20/2014,272,Guinea,2571.0,1586.0
9,12/20/2014,272,Liberia,7862.0,3384.0
9,12/20/2014,272,Mali,,
9,12/20/2014,272,Nigeria,,
9,12/20/2014,272,Senegal,,
9,12/20/2014,272,SierraLeone,8939.0,2556.0
9,12/20/2014,272,Spain,,
9,12/20/2014,272,UnitedStates,,
10,12/18/2014,271,Guinea,,
10,12/18/2014,271,Liberia,7830.0,3376.0
10,12/18/2014,271,Mali,,
10,12/18/2014,271,Nigeria,,
10,12/18/2014,271,Senegal,,
10,12/18/2014,271,SierraLeone,,
10,12/18/2014,271,Spain,,
10,12/18/2014,271,UnitedStates,,
11,12/14/2014,267,Guinea,2416.0,1525.0
11,12/14/2014,267,Liberia,,
11,12/14/2014,267,Mali,,
11,12/14/2014,267,Nigeria,,
11,12/14/2014,267,Senegal,,
11,12/14/2014,267,SierraLeone,8356.0,2085.0
11,12/14/2014,267,Spain,,
