datetime,pips_candle_0_30,pips_candle_max_0_30,pips_candle_min_0_30,pips_candle_0_60,pips_candle_max_0_60,pips_candle_min_0_60,pips_candle_0_120,pips_candle_max_0_120,pips_candle_min_0_120,pips_candle_0_180,pips_candle_max_0_180,pips_candle_min_0_180,pips_candle_0_240,pips_candle_max_0_240,pips_candle_min_0_240
1/8/2007 15:00,-1,3,-6,-3,3,-6,0,6,-12,8,11,-12,17,20,-12
2/7/2007 15:00,-1,4,-6,-1,5,-6,1,10,-6,8,11,-6,15,17,-6
3/7/2007 15:00,-4,3,-6,-2,3,-8,-5,3,-12,-2,3,-12,-5,3,-16
4/6/2007 15:00,-2,1,-5,-2,1,-8,2,3,-8,2,3,-8,2,3,-8
5/7/2007 15:00,-3,1,-8,0,2,-8,-4,2,-8,-6,2,-8,-5,2,-8
6/7/2007 15:00,-3,0,-4,-5,0,-8,-1,1,-8,-9,2,-10,-7,2,-10
7/9/2007 15:00,-2,1,-3,-3,1,-4,2,3,-6,3,10,-6,-2,10,-6
8/7/2007 15:00,-4,7,-8,-17,7,-26,-29,7,-33,-22,7,-33,-25,7,-33
9/10/2007 15:00,-4,6,-7,-6,6,-10,-3,6,-10,1,6,-11,3,6,-11
10/5/2007 15:00,-4,4,-6,-5,4,-9,-5,4,-12,-5,4,-12,-5,4,-12
11/7/2007 15:00,-25,9,-36,-31,9,-42,-25,9,-42,-33,9,-47,-40,9,-47
12/7/2007 15:00,0,4,-6,-8,4,-8,-1,5,-8,-1,5,-8,-1,5,-8
1/8/2008 15:00,1,5,-6,-1,6,-6,-4,6,-9,-1,6,-9,-4,6,-11
2/7/2008 15:00,12,15,-4,15,19,-4,25,31,-4,37,40,-4,17,40,-4
3/7/2008 15:00,-2,5,-6,-2,5,-6,8,14,-6,8,14,-6,8,14,-6
4/7/2008 15:00,-1,8,-4,0,8,-4,7,15,-4,-1,15,-9,-2,15,-9
5/7/2008 15:00,0,6,-4,6,9,-5,-7,9,-19,-4,9,-19,-19,9,-21
6/6/2008 15:00,8,10,-11,7,13,-11,13,16,-11,13,16,-11,13,16,-11
7/8/2008 15:00,3,6,-5,1,10,-5,18,21,-5,14,21,-5,10,21,-5
8/7/2008 15:00,0,5,-6,-7,10,-10,-5,10,-21,-7,10,-21,2,10,-21
9/8/2008 15:00,6,7,-13,30,33,-13,12,47,-13,2,47,-13,33,47,-13
10/7/2008 15:00,-15,11,-15,-16,11,-20,-45,11,-49,-13,11,-54,-48,11,-54
11/7/2008 15:00,-2,14,-11,20,23,-11,-27,23,-29,-27,23,-29,-27,23,-29
12/5/2008 15:00,27,34,-3,36,49,-3,42,61,-3,42,61,-3,42,61,-3
1/8/2009 15:00,-18,6,-23,0,6,-37,-24,10,-37,-21,10,-39,-29,10,-39
2/6/2009 15:00,0,14,-15,-7,14,-15,6,17,-15,6,17,-15,6,17,-15
3/6/2009 15:00,-61,3,-62,-28,3,-62,-14,3,-62,-14,3,-62,-14,3,-62
4/7/2009 15:00,16,38,-3,10,38,-3,14,38,-3,10,38,-3,23,38,-3
5/7/2009 15:00,0,6,-11,6,9,-11,10,15,-11,8,27,-11,14,27,-11
6/5/2009 15:00,-1,5,-10,-3,5,-10,-1,8,-10,-1,8,-10,-1,8,-10
7/8/2009 15:00,-4,12,-10,25,30,-10,27,39,-10,18,39,-10,24,39,-10
8/7/2009 15:00,5,7,-6,-1,10,-8,10,12,-11,10,12,-11,10,12,-11
9/8/2009 15:00,20,22,-4,12,24,-4,-7,24,-11,8,24,-13,14,24,-13
10/7/2009 15:00,11,13,-3,12,20,-3,23,27,-3,21,27,-3,20,27,-3
