movie_title,actor_1,actor_2,actor_3,fb_like_1,fb_like_2,fb_like_3
Avatar,CCH Pounder,Joel David Moore,Wes Studi,1000.0,936.0,855.0
Pirates of the Caribbean: At World's End,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
Spectre,Christoph Waltz,Rory Kinnear,Stephanie Sigman,11000.0,393.0,161.0
The Dark Knight Rises,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,27000.0,23000.0,23000.0
Star Wars: Episode VII - The Force Awakens,Doug Walker,Rob Walker,,131.0,12.0,
John Carter,Daryl Sabara,Samantha Morton,Polly Walker,640.0,632.0,530.0
Spider-Man 3,J.K. Simmons,James Franco,Kirsten Dunst,24000.0,11000.0,4000.0
Tangled,Brad Garrett,Donna Murphy,M.C. Gainey,799.0,553.0,284.0
Avengers: Age of Ultron,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
Harry Potter and the Half-Blood Prince,Alan Rickman,Daniel Radcliffe,Rupert Grint,25000.0,11000.0,10000.0
Batman v Superman: Dawn of Justice,Henry Cavill,Lauren Cohan,Alan D. Purwin,15000.0,4000.0,2000.0
Superman Returns,Kevin Spacey,Marlon Brando,Frank Langella,18000.0,10000.0,903.0
Quantum of Solace,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,451.0,412.0,393.0
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Orlando Bloom,Jack Davenport,40000.0,5000.0,1000.0
The Lone Ranger,Johnny Depp,Ruth Wilson,Tom Wilkinson,40000.0,2000.0,1000.0
Man of Steel,Henry Cavill,Christopher Meloni,Harry Lennix,15000.0,3000.0,748.0
The Chronicles of Narnia: Prince Caspian,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,22000.0,216.0,201.0
The Avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,26000.0,21000.0,19000.0
Pirates of the Caribbean: On Stranger Tides,Johnny Depp,Sam Claflin,Stephen Graham,40000.0,11000.0,1000.0
Men in Black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,10000.0,816.0,718.0
The Hobbit: The Battle of the Five Armies,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Amazing Spider-Man,Emma Stone,Andrew Garfield,Chris Zylka,15000.0,10000.0,963.0
Robin Hood,Mark Addy,William Hurt,Scott Grimes,891.0,882.0,738.0
The Hobbit: The Desolation of Smaug,Aidan Turner,Adam Brown,James Nesbitt,5000.0,972.0,773.0
The Golden Compass,Christopher Lee,Eva Green,Kristin Scott Thomas,16000.0,6000.0,1000.0
King Kong,Naomi Watts,Thomas Kretschmann,Evan Parke,6000.0,919.0,84.0
