League,Season,Date,game_id,Var,Goal,Team,Win,d_rating,o_rating
Bundesliga,2017-2018,1/12/2018,4119,Away,3,Bayern Munich,1,0.8095465,0.6192845
Bundesliga,2017-2018,1/12/2018,4119,Home,1,Leverkusen,0,1.0324079,0.421826
Bundesliga,2017-2018,1/13/2018,4120,Away,1,Freiburg,0,0.8779113,0.37899888
Bundesliga,2017-2018,1/13/2018,4120,Home,1,Eint Frankfurt,0,0.86359495,0.17445302
Bundesliga,2017-2018,1/13/2018,4121,Away,2,Mainz 05,0,0.7601038,0.0
Bundesliga,2017-2018,1/13/2018,4121,Home,3,Hannover 96,1,0.8131189,0.22543475
Bundesliga,2017-2018,1/13/2018,4122,Away,1,Hoffenheim,0,0.8622703,0.08340395
Bundesliga,2017-2018,1/13/2018,4122,Home,1,Werder Bremen,0,0.79725343,0.679399
Bundesliga,2017-2018,1/13/2018,4123,Away,0,Hamburger SV,0,0.88843304,0.1960056
Bundesliga,2017-2018,1/13/2018,4123,Home,1,Augsburg,1,0.77617604,0.39198533
Bundesliga,2017-2018,1/13/2018,4124,Away,0,Hertha BSC,0,1.1738952,0.79858613
Bundesliga,2017-2018,1/13/2018,4124,Home,1,Stuttgart,1,0.77617604,0.5766953
Bundesliga,2017-2018,1/13/2018,4125,Away,1,Schalke 04,0,0.9251159,0.39625517
Bundesliga,2017-2018,1/13/2018,4125,Home,3,RB Leipzig,1,0.8910763,0.69337183
Bundesliga,2017-2018,1/14/2018,4126,Away,1,M'Gladbach,0,1.3913304,0.44108745
Bundesliga,2017-2018,1/14/2018,4126,Home,2,Köln,1,0.77617604,0.66826665
Bundesliga,2017-2018,1/14/2018,4127,Away,0,Wolfsburg,0,1.0726798,0.35534802
Bundesliga,2017-2018,1/14/2018,4127,Home,0,Dortmund,0,1.1720179,1.4268923
Bundesliga,2017-2018,1/19/2018,4128,Away,1,Dortmund,0,1.334944,0.83692753
Bundesliga,2017-2018,1/19/2018,4128,Home,1,Hertha BSC,0,1.1490612,1.1663625
Bundesliga,2017-2018,1/20/2018,4129,Away,3,Eint Frankfurt,1,1.1147895,0.8310804
Bundesliga,2017-2018,1/20/2018,4129,Home,1,Wolfsburg,0,1.0930585,0.25036484
Bundesliga,2017-2018,1/20/2018,4130,Away,1,RB Leipzig,0,0.8406479,0.18160748
Bundesliga,2017-2018,1/20/2018,4130,Home,2,Freiburg,1,0.97620094,0.6909982
Bundesliga,2017-2018,1/20/2018,4131,Away,4,Leverkusen,1,1.0767401,1.4861897
Bundesliga,2017-2018,1/20/2018,4131,Home,1,Hoffenheim,0,0.8502699,0.2945222
Bundesliga,2017-2018,1/20/2018,4132,Away,0,Augsburg,0,0.8341008,0.019805185
Bundesliga,2017-2018,1/20/2018,4132,Home,2,M'Gladbach,1,0.7882058,0.39633566
Bundesliga,2017-2018,1/20/2018,4133,Away,2,Stuttgart,0,1.5081843,1.4512297
Bundesliga,2017-2018,1/20/2018,4133,Home,3,Mainz 05,1,0.78509927,0.32626715
Bundesliga,2017-2018,1/20/2018,4134,Away,2,Köln,1,0.77617604,0.80001414
Bundesliga,2017-2018,1/20/2018,4134,Home,0,Hamburger SV,0,0.77617604,0.4503813
Bundesliga,2017-2018,1/21/2018,4135,Away,2,Werder Bremen,0,0.9634485,0.23290461
Bundesliga,2017-2018,1/21/2018,4135,Home,4,Bayern Munich,1,1.603677,1.6635907
Bundesliga,2017-2018,1/21/2018,4136,Away,1,Hannover 96,0,1.4232788,0.59287906
Bundesliga,2017-2018,1/21/2018,4136,Home,1,Schalke 04,0,1.3918729,0.4933301
Bundesliga,2017-2018,1/26/2018,4137,Away,0,M'Gladbach,0,1.0524546,0.07787363
Bundesliga,2017-2018,1/26/2018,4137,Home,2,Eint Frankfurt,1,1.1224566,0.87319374
Bundesliga,2017-2018,1/27/2018,4138,Away,1,Hamburger SV,0,0.77617604,0.0
Bundesliga,2017-2018,1/27/2018,4138,Home,1,RB Leipzig,0,0.8485128,0.6135756
Bundesliga,2017-2018,1/27/2018,4139,Away,2,Schalke 04,1,1.0186429,0.8270479
Bundesliga,2017-2018,1/27/2018,4139,Home,0,Stuttgart,0,1.2475092,0.4858525
Bundesliga,2017-2018,1/27/2018,4140,Away,1,Augsburg,0,0.79054284,0.0
Bundesliga,2017-2018,1/27/2018,4140,Home,1,Köln,0,0.8307519,0.9192796
Bundesliga,2017-2018,1/27/2018,4141,Away,2,Hoffenheim,0,0.9540632,0.31800407
Bundesliga,2017-2018,1/27/2018,4141,Home,5,Bayern Munich,1,0.98328984,0.56771326
Bundesliga,2017-2018,1/27/2018,4142,Away,2,Freiburg,0,0.959539,0.58254266
Bundesliga,2017-2018,1/27/2018,4142,Home,2,Dortmund,0,1.817352,0.59053713
Bundesliga,2017-2018,1/27/2018,4143,Away,0,Hertha BSC,0,1.3002577,0.1124174
Bundesliga,2017-2018,1/27/2018,4143,Home,0,Werder Bremen,0,0.7113934,0.8303803
Bundesliga,2017-2018,1/28/2018,4144,Away,0,Mainz 05,0,1.0956018,0.3315013
Bundesliga,2017-2018,1/28/2018,4144,Home,2,Leverkusen,1,1.1316782,1.4570326
Bundesliga,2017-2018,1/28/2018,4145,Away,1,Wolfsburg,1,0.785113,0.62025476
Bundesliga,2017-2018,1/28/2018,4145,Home,0,Hannover 96,0,0.8623797,0.4302352
