Index,id_in_session,participant.code,index_in_pages,current_app_name,time_started,session_code,id_in_group,choice_1,distance_1,time_1,price_1,rowA_1,rowB_1,colA_1,colB_1,priceA_1,priceB_1,legroomA_1,legroomB_1,distance_2,choice_2,time_2,price_2,rowA_2,rowB_2,colA_2,colB_2,priceA_2,priceB_2,legroomA_2,legroomB_2,choice_3,distance_3,time_3,price_3,rowA_3,rowB_3,colA_3,colB_3,priceA_3,priceB_3,legroomA_3,legroomB_3
24,1,ixi1jkao,23,survey,2021-04-15 23:36:35.096369+00:00,s6qkz77s,1,Seat A,3.4,Red-eye,194,13,27,E,E,6,0,0,1,4.9,Seat B,Daytime,253,10,10,E,F,1,4,0,0,Seat A,1.8,Red-eye,69,13,13,A,C,4,8,0,0
28,5,p1n8e9va,23,survey,2021-04-16 01:35:43.132533+00:00,s6qkz77s,5,Seat A,1.6,Daytime,66,13,27,E,E,14,0,1,1,3.9,Seat B,Red-eye,171,10,10,E,F,1,5,1,1,Seat B,4.7,Red-eye,218,13,13,A,C,0,2,0,0
29,6,8j3yb395,23,survey,2021-04-16 01:36:06.063812+00:00,s6qkz77s,6,Seat A,0.8,Daytime,46,13,27,E,E,1,0,0,1,4.9,Seat B,Daytime,189,10,10,E,F,4,6,0,0,Seat A,2.4,Daytime,168,13,13,A,C,1,10,1,1
38,15,pr29qnzv,23,survey,2021-04-16 02:40:31.624725+00:00,s6qkz77s,15,Seat B,2.1,Daytime,97,13,27,E,E,19,3,0,1,1.2,Seat B,Red-eye,56,10,10,E,F,2,3,1,1,Seat A,2.3,Red-eye,113,13,13,A,C,4,4,0,0
39,16,l0hz8k3t,23,survey,2021-04-16 02:55:05.067225+00:00,s6qkz77s,16,Seat A,2.4,Red-eye,105,13,27,E,E,10,0,0,1,5.4,Seat B,Red-eye,293,10,10,E,F,2,5,0,0,Seat B,3.7,Red-eye,240,13,13,A,C,1,7,0,0
45,22,12cmjmpa,23,survey,2021-04-16 04:50:54.429018+00:00,s6qkz77s,22,Seat A,4.1,Red-eye,201,13,27,E,E,2,0,1,1,0.8,Seat B,Red-eye,43,10,10,E,F,4,6,0,0,Seat A,1.5,Daytime,58,13,13,A,C,4,5,1,1
47,24,6pjbj1z2,23,survey,2021-04-16 05:00:18.162172+00:00,s6qkz77s,24,Seat A,4.1,Red-eye,266,13,27,E,E,9,4,0,1,3.7,Seat B,Daytime,143,10,10,E,F,4,8,1,1,Seat B,4.8,Red-eye,324,13,13,A,C,3,9,0,0
51,28,9y8d6e7g,23,survey,2021-04-16 16:14:41.290776+00:00,s6qkz77s,28,Seat A,5.5,Red-eye,386,13,27,E,E,12,2,0,1,4.0,Seat B,Daytime,259,10,10,E,F,4,7,1,1,Seat B,3.9,Daytime,161,13,13,A,C,3,7,0,0
53,30,rlda04iy,23,survey,2021-04-16 17:19:43.718859+00:00,s6qkz77s,30,Seat A,1.3,Red-eye,50,13,27,E,E,1,0,1,1,2.5,Seat B,Daytime,123,10,10,E,F,1,2,1,1,Seat A,2.5,Red-eye,175,13,13,A,C,2,7,0,0
54,31,yhvlhoqw,23,survey,2021-04-16 17:47:08.302921+00:00,s6qkz77s,31,Seat A,4.0,Daytime,186,13,27,E,E,10,1,1,1,2.4,Seat B,Red-eye,149,10,10,E,F,3,6,1,1,Seat B,2.2,Red-eye,85,13,13,A,C,0,1,1,1
