FIPS_Code,State,Area_name,City/Suburb/Town/Rural,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009
1007,AL,"Bibb County, AL",City,"8,623","8,160",463,5.4,"9,134","8,513",621,6.8,"8,961","8,333",628,7.0,"8,871","8,346",525,5.9,"8,851","8,375",476,5.4,"8,837","8,444",393,4.4,"8,858","8,489",369,4.2,"8,810","8,443",367,4.2,"8,751","8,225",526,6.0,"8,696","7,637","1,059",12.2
1009,AL,"Blount County, AL",City,"25,266","24,375",891,3.5,"25,450","24,521",929,3.7,"25,836","24,436","1,400",5.4,"26,008","24,812","1,196",4.6,"26,237","25,149","1,088",4.1,"26,378","25,434",944,3.6,"26,799","25,939",860,3.2,"26,683","25,816",867,3.2,"26,693","25,405","1,288",4.8,"26,426","24,005","2,421",9.2
1021,AL,"Chilton County, AL",City,"19,601","18,752",849,4.3,"19,580","18,631",949,4.8,"19,452","18,456",996,5.1,"19,557","18,581",976,5.0,"19,650","18,738",912,4.6,"19,623","18,859",764,3.9,"19,792","19,087",705,3.6,"19,777","19,093",684,3.5,"19,609","18,583","1,026",5.2,"19,393","17,501","1,892",9.8
1073,AL,"Jefferson County, AL",City,"331,141","317,868","13,273",4.0,"327,780","313,445","14,335",4.4,"323,104","306,259","16,845",5.2,"322,328","304,626","17,702",5.5,"320,629","303,868","16,761",5.2,"316,522","302,586","13,936",4.4,"317,080","304,463","12,617",4.0,"315,430","303,023","12,407",3.9,"311,643","294,233","17,410",5.6,"306,180","276,008","30,172",9.9
1115,AL,"St. Clair County, AL",City,"31,555","30,359","1,196",3.8,"31,855","30,507","1,348",4.2,"32,033","30,392","1,641",5.1,"32,422","30,742","1,680",5.2,"33,124","31,489","1,635",4.9,"33,663","32,335","1,328",3.9,"35,091","33,868","1,223",3.5,"36,117","34,862","1,255",3.5,"36,480","34,586","1,894",5.2,"36,664","33,003","3,661",10.0
1117,AL,"Shelby County, AL",City,"82,798","80,512","2,286",2.8,"84,572","82,074","2,498",3.0,"85,927","82,879","3,048",3.5,"88,643","85,521","3,122",3.5,"91,642","88,582","3,060",3.3,"94,460","91,578","2,882",3.1,"98,507","95,835","2,672",2.7,"99,839","97,177","2,662",2.7,"101,102","97,190","3,912",3.9,"99,778","92,685","7,093",7.1
1127,AL,"Walker County, AL",City,"31,714","29,851","1,863",5.9,"31,419","29,513","1,906",6.1,"30,778","28,820","1,958",6.4,"30,444","28,485","1,959",6.4,"30,180","28,361","1,819",6.0,"29,693","28,391","1,302",4.4,"29,905","28,556","1,349",4.5,"29,122","27,839","1,283",4.4,"28,764","27,062","1,702",5.9,"28,095","25,092","3,003",10.7
4013,AZ,"Maricopa County, AZ",City,"1,598,523","1,546,575","51,948",3.2,"1,661,301","1,592,148","69,153",4.2,"1,717,779","1,620,415","97,364",5.7,"1,744,428","1,653,332","91,096",5.2,"1,784,961","1,706,380","78,581",4.4,"1,842,737","1,768,406","74,331",4.0,"1,907,614","1,837,930","69,684",3.7,"1,935,839","1,874,182","61,657",3.2,"1,966,052","1,866,392","99,660",5.1,"1,967,563","1,792,986","174,577",8.9
4021,AZ,"Pinal County, AZ",City,"69,640","66,458","3,182",4.6,"72,150","68,271","3,879",5.4,"75,952","70,310","5,642",7.4,"78,685","73,154","5,531",7.0,"81,751","76,867","4,884",6.0,"86,792","81,960","4,832",5.6,"102,273","97,047","5,226",5.1,"111,050","106,097","4,953",4.5,"121,870","113,386","8,484",7.0,"126,725","111,541","15,184",12.0
5035,AR,"Crittenden County, AR",City,"21,967","21,071",896,4.1,"21,606","20,509","1,097",5.1,"21,531","20,274","1,257",5.8,"21,494","20,073","1,421",6.6,"21,848","20,366","1,482",6.8,"22,317","20,849","1,468",6.6,"22,158","20,633","1,525",6.9,"22,118","20,653","1,465",6.6,"22,307","20,554","1,753",7.9,"21,954","19,594","2,360",10.7
