Title,Year,Bond actor,Director,wide_to_long_var,Box,Budget(Actual,Budget(Adjusted,Salary
A View to a Kill,1985,Roger Moore,John Glen,$ (millions)),,30.0,,
A View to a Kill,1985,Roger Moore,John Glen,2005 $ (millions)),,,54.5,
A View to a Kill,1985,Roger Moore,John Glen,of Bond actor(Actual $ (millions)),,,,5.0
A View to a Kill,1985,Roger Moore,John Glen,of Bond actor(Adjusted 2005 $ (millions)),,,,9.1
A View to a Kill,1985,Roger Moore,John Glen,office(Actual $ (millions)),152.4,,,
A View to a Kill,1985,Roger Moore,John Glen,office(Adjusted 2005 $ (millions)),275.2,,,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,$ (millions)),,12,,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,2005 $ (millions)),,,70,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,of Bond actor(Actual $ (millions)),,,,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,of Bond actor(Adjusted 2005 $ (millions)),,,,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,office(Actual $ (millions)),44.4,,,
Casino Royale,1967,David Niven,Ken Hughes John Huston Joseph McGrath Robert Parrish Val Guest Richard Talmadge,office(Adjusted 2005 $ (millions)),260,,,
Casino Royale,2006,Daniel Craig,Martin Campbell,$ (millions)),,150.0,,
Casino Royale,2006,Daniel Craig,Martin Campbell,2005 $ (millions)),,,145.3,
Casino Royale,2006,Daniel Craig,Martin Campbell,of Bond actor(Actual $ (millions)),,,,3.4
Casino Royale,2006,Daniel Craig,Martin Campbell,of Bond actor(Adjusted 2005 $ (millions)),,,,3.3
Casino Royale,2006,Daniel Craig,Martin Campbell,office(Actual $ (millions)),594.2,,,
Casino Royale,2006,Daniel Craig,Martin Campbell,office(Adjusted 2005 $ (millions)),581.5,,,
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,$ (millions)),,7.2,,
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,2005 $ (millions)),,,34.7,
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,of Bond actor(Actual $ (millions)),,,,1.2 + 12.5% of gross (14.5)
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,of Bond actor(Adjusted 2005 $ (millions)),,,,5.8 excluding profit participation
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,office(Actual $ (millions)),116.0,,,
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,office(Adjusted 2005 $ (millions)),442.5,,,
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,$ (millions)),,142.0,,
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,2005 $ (millions)),,,154.2,
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,of Bond actor(Actual $ (millions)),,,,16.5
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,of Bond actor(Adjusted 2005 $ (millions)),,,,17.9
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,office(Actual $ (millions)),431.9,,,
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,office(Adjusted 2005 $ (millions)),465.4,,,
Dr. No,1962,Sean Connery,Terence Young,$ (millions)),,1.1,,
Dr. No,1962,Sean Connery,Terence Young,2005 $ (millions)),,,7.0,
Dr. No,1962,Sean Connery,Terence Young,of Bond actor(Actual $ (millions)),,,,0.1
Dr. No,1962,Sean Connery,Terence Young,of Bond actor(Adjusted 2005 $ (millions)),,,,0.6
Dr. No,1962,Sean Connery,Terence Young,office(Actual $ (millions)),59.5,,,
Dr. No,1962,Sean Connery,Terence Young,office(Adjusted 2005 $ (millions)),448.8,,,
For Your Eyes Only,1981,Roger Moore,John Glen,$ (millions)),,28.0,,
For Your Eyes Only,1981,Roger Moore,John Glen,2005 $ (millions)),,,60.2,
For Your Eyes Only,1981,Roger Moore,John Glen,of Bond actor(Actual $ (millions)),,,,
For Your Eyes Only,1981,Roger Moore,John Glen,of Bond actor(Adjusted 2005 $ (millions)),,,,
For Your Eyes Only,1981,Roger Moore,John Glen,office(Actual $ (millions)),194.9,,,
For Your Eyes Only,1981,Roger Moore,John Glen,office(Adjusted 2005 $ (millions)),449.4,,,
From Russia with Love,1963,Sean Connery,Terence Young,$ (millions)),,2.0,,
From Russia with Love,1963,Sean Connery,Terence Young,2005 $ (millions)),,,12.6,
From Russia with Love,1963,Sean Connery,Terence Young,of Bond actor(Actual $ (millions)),,,,0.3
From Russia with Love,1963,Sean Connery,Terence Young,of Bond actor(Adjusted 2005 $ (millions)),,,,1.6
From Russia with Love,1963,Sean Connery,Terence Young,office(Actual $ (millions)),78.9,,,
From Russia with Love,1963,Sean Connery,Terence Young,office(Adjusted 2005 $ (millions)),543.8,,,
GoldenEye,1995,Pierce Brosnan,Martin Campbell,$ (millions)),,60.0,,
GoldenEye,1995,Pierce Brosnan,Martin Campbell,2005 $ (millions)),,,76.9,
GoldenEye,1995,Pierce Brosnan,Martin Campbell,of Bond actor(Actual $ (millions)),,,,4.0
GoldenEye,1995,Pierce Brosnan,Martin Campbell,of Bond actor(Adjusted 2005 $ (millions)),,,,5.1
GoldenEye,1995,Pierce Brosnan,Martin Campbell,office(Actual $ (millions)),351.9,,,
GoldenEye,1995,Pierce Brosnan,Martin Campbell,office(Adjusted 2005 $ (millions)),518.5,,,
Goldfinger,1964,Sean Connery,Guy Hamilton,$ (millions)),,3.0,,
Goldfinger,1964,Sean Connery,Guy Hamilton,2005 $ (millions)),,,18.6,
Goldfinger,1964,Sean Connery,Guy Hamilton,of Bond actor(Actual $ (millions)),,,,0.5
Goldfinger,1964,Sean Connery,Guy Hamilton,of Bond actor(Adjusted 2005 $ (millions)),,,,3.2
Goldfinger,1964,Sean Connery,Guy Hamilton,office(Actual $ (millions)),124.9,,,
Goldfinger,1964,Sean Connery,Guy Hamilton,office(Adjusted 2005 $ (millions)),820.4,,,
Licence to Kill,1989,Timothy Dalton,John Glen,$ (millions)),,36.0,,
Licence to Kill,1989,Timothy Dalton,John Glen,2005 $ (millions)),,,56.7,
Licence to Kill,1989,Timothy Dalton,John Glen,of Bond actor(Actual $ (millions)),,,,5.0
Licence to Kill,1989,Timothy Dalton,John Glen,of Bond actor(Adjusted 2005 $ (millions)),,,,7.9
Licence to Kill,1989,Timothy Dalton,John Glen,office(Actual $ (millions)),156.2,,,
Licence to Kill,1989,Timothy Dalton,John Glen,office(Adjusted 2005 $ (millions)),250.9,,,
Live and Let Die,1973,Roger Moore,Guy Hamilton,$ (millions)),,7.0,,
Live and Let Die,1973,Roger Moore,Guy Hamilton,2005 $ (millions)),,,30.8,
Live and Let Die,1973,Roger Moore,Guy Hamilton,of Bond actor(Actual $ (millions)),,,,0.18
Live and Let Die,1973,Roger Moore,Guy Hamilton,of Bond actor(Adjusted 2005 $ (millions)),,,,0.7
Live and Let Die,1973,Roger Moore,Guy Hamilton,office(Actual $ (millions)),126.4,,,
Live and Let Die,1973,Roger Moore,Guy Hamilton,office(Adjusted 2005 $ (millions)),460.3,,,
Moonraker,1979,Roger Moore,Lewis Gilbert,$ (millions)),,34.0,,
Moonraker,1979,Roger Moore,Lewis Gilbert,2005 $ (millions)),,,91.5,
Moonraker,1979,Roger Moore,Lewis Gilbert,of Bond actor(Actual $ (millions)),,,,
Moonraker,1979,Roger Moore,Lewis Gilbert,of Bond actor(Adjusted 2005 $ (millions)),,,,
Moonraker,1979,Roger Moore,Lewis Gilbert,office(Actual $ (millions)),210.3,,,
Moonraker,1979,Roger Moore,Lewis Gilbert,office(Adjusted 2005 $ (millions)),535.0,,,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,$ (millions)),,36,,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,2005 $ (millions)),,,71,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,of Bond actor(Actual $ (millions)),,,,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,of Bond actor(Adjusted 2005 $ (millions)),,,,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,office(Actual $ (millions)),160,,,
Never Say Never Again,1983,Sean Connery,Irvin Kershner,office(Adjusted 2005 $ (millions)),314,,,
Octopussy,1983,Roger Moore,John Glen,$ (millions)),,27.5,,
Octopussy,1983,Roger Moore,John Glen,2005 $ (millions)),,,53.9,
Octopussy,1983,Roger Moore,John Glen,of Bond actor(Actual $ (millions)),,,,4.0
Octopussy,1983,Roger Moore,John Glen,of Bond actor(Adjusted 2005 $ (millions)),,,,7.8
Octopussy,1983,Roger Moore,John Glen,office(Actual $ (millions)),183.7,,,
Octopussy,1983,Roger Moore,John Glen,office(Adjusted 2005 $ (millions)),373.8,,,
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,$ (millions)),,7.0,,
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,2005 $ (millions)),,,37.3,
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,of Bond actor(Actual $ (millions)),,,,0.1
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,of Bond actor(Adjusted 2005 $ (millions)),,,,0.6
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,office(Actual $ (millions)),64.6,,,
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,office(Adjusted 2005 $ (millions)),291.5,,,
Quantum of Solace,2008,Daniel Craig,Marc Forster,$ (millions)),,200.0,,
Quantum of Solace,2008,Daniel Craig,Marc Forster,2005 $ (millions)),,,181.4,
Quantum of Solace,2008,Daniel Craig,Marc Forster,of Bond actor(Actual $ (millions)),,,,8.9
Quantum of Solace,2008,Daniel Craig,Marc Forster,of Bond actor(Adjusted 2005 $ (millions)),,,,8.1
Quantum of Solace,2008,Daniel Craig,Marc Forster,office(Actual $ (millions)),576.0,,,
Quantum of Solace,2008,Daniel Craig,Marc Forster,office(Adjusted 2005 $ (millions)),514.2,,,
Skyfall,2012,Daniel Craig,Sam Mendes,$ (millions)),,150.0–200.0,,
Skyfall,2012,Daniel Craig,Sam Mendes,2005 $ (millions)),,,127.7–170.2,
Skyfall,2012,Daniel Craig,Sam Mendes,of Bond actor(Actual $ (millions)),,,,17.0
Skyfall,2012,Daniel Craig,Sam Mendes,of Bond actor(Adjusted 2005 $ (millions)),,,,14.5
Skyfall,2012,Daniel Craig,Sam Mendes,office(Actual $ (millions)),1108.6,,,
Skyfall,2012,Daniel Craig,Sam Mendes,office(Adjusted 2005 $ (millions)),943.5,,,
Spectre,2015,Daniel Craig,Sam Mendes,$ (millions)),,245.0–250.0,,
Spectre,2015,Daniel Craig,Sam Mendes,2005 $ (millions)),,,201.8–205.9,
Spectre,2015,Daniel Craig,Sam Mendes,of Bond actor(Actual $ (millions)),,,,39
Spectre,2015,Daniel Craig,Sam Mendes,of Bond actor(Adjusted 2005 $ (millions)),,,,
Spectre,2015,Daniel Craig,Sam Mendes,office(Actual $ (millions)),880.7,,,
Spectre,2015,Daniel Craig,Sam Mendes,office(Adjusted 2005 $ (millions)),725.5,,,
The Living Daylights,1987,Timothy Dalton,John Glen,$ (millions)),,40.0,,
The Living Daylights,1987,Timothy Dalton,John Glen,2005 $ (millions)),,,68.8,
The Living Daylights,1987,Timothy Dalton,John Glen,of Bond actor(Actual $ (millions)),,,,3.0
The Living Daylights,1987,Timothy Dalton,John Glen,of Bond actor(Adjusted 2005 $ (millions)),,,,5.2
The Living Daylights,1987,Timothy Dalton,John Glen,office(Actual $ (millions)),191.2,,,
The Living Daylights,1987,Timothy Dalton,John Glen,office(Adjusted 2005 $ (millions)),313.5,,,
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,$ (millions)),,7.0,,
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,2005 $ (millions)),,,27.7,
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,of Bond actor(Actual $ (millions)),,,,0.24 + 2.5%
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,of Bond actor(Adjusted 2005 $ (millions)),,,,0..8 excluding profit participation
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,office(Actual $ (millions)),98.5,,,
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,office(Adjusted 2005 $ (millions)),334.0,,,
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,$ (millions)),,14.0,,
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,2005 $ (millions)),,,45.1,
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,of Bond actor(Actual $ (millions)),,,,0.3 + 3.75%
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,of Bond actor(Adjusted 2005 $ (millions)),,,,0..9 excluding profit participation
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,office(Actual $ (millions)),185.4,,,
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,office(Adjusted 2005 $ (millions)),533.0,,,
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,$ (millions)),,135.0,,
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,2005 $ (millions)),,,158.3,
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,of Bond actor(Actual $ (millions)),,,,12.4
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,of Bond actor(Adjusted 2005 $ (millions)),,,,13.5
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,office(Actual $ (millions)),361.8,,,
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,office(Adjusted 2005 $ (millions)),439.5,,,
Thunderball,1965,Sean Connery,Terence Young,$ (millions)),,6.8,,
Thunderball,1965,Sean Connery,Terence Young,2005 $ (millions)),,,41.9,
Thunderball,1965,Sean Connery,Terence Young,of Bond actor(Actual $ (millions)),,,,0.8
Thunderball,1965,Sean Connery,Terence Young,of Bond actor(Adjusted 2005 $ (millions)),,,,4.7
Thunderball,1965,Sean Connery,Terence Young,office(Actual $ (millions)),141.2,,,
Thunderball,1965,Sean Connery,Terence Young,office(Adjusted 2005 $ (millions)),848.1,,,
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,$ (millions)),,110.0,,
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,2005 $ (millions)),,,133.9,
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,of Bond actor(Actual $ (millions)),,,,8.2
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,of Bond actor(Adjusted 2005 $ (millions)),,,,10.0
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,office(Actual $ (millions)),338.9,,,
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,office(Adjusted 2005 $ (millions)),463.2,,,
Total,Total,All films,All films,$ (millions)),,"1,501–1,556",,
Total,Total,All films,All films,2005 $ (millions)),,,"2,162–2,208",
Total,Total,All films,All films,of Bond actor(Actual $ (millions)),,,,
Total,Total,All films,All films,of Bond actor(Adjusted 2005 $ (millions)),,,,
Total,Total,All films,All films,office(Actual $ (millions)),"7,033.5",,,
Total,Total,All films,All films,office(Adjusted 2005 $ (millions)),"13,283",,,
Total,Total,Eon-produced film series,Eon-produced film series,$ (millions)),,"1,453–1,508",,
Total,Total,Eon-produced film series,Eon-produced film series,2005 $ (millions)),,,"1,881–1,927",
Total,Total,Eon-produced film series,Eon-produced film series,of Bond actor(Actual $ (millions)),,,,
Total,Total,Eon-produced film series,Eon-produced film series,of Bond actor(Adjusted 2005 $ (millions)),,,,
Total,Total,Eon-produced film series,Eon-produced film series,office(Actual $ (millions)),"6,829.1",,,
Total,Total,Eon-produced film series,Eon-produced film series,office(Adjusted 2005 $ (millions)),"12,086",,,
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,$ (millions)),,10.3,,
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,2005 $ (millions)),,,59.9,
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,of Bond actor(Actual $ (millions)),,,,0.8 + 25% net merch royalty
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,of Bond actor(Adjusted 2005 $ (millions)),,,,4.4 excluding profit participation
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,office(Actual $ (millions)),101.0,,,
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,office(Adjusted 2005 $ (millions)),514.2,,,
